adhesome_gene,corr,tissue,study
ITGA4,-0.012867174,Uterus,GTEx
ITGAV,0.006467423,Uterus,GTEx
CASP8,0.176364799,Uterus,GTEx
ABI2,0.157730916,Uterus,GTEx
NRP2,0.000578688,Uterus,GTEx
TNS1,-0.014779782,Uterus,GTEx
ARPC2,-0.197314151,Uterus,GTEx
IRS1,0.210592168,Uterus,GTEx
INPP5D,-0.144024887,Uterus,GTEx
ILKAP,-0.088104784,Uterus,GTEx
ANKRD28,0.126528148,Uterus,GTEx
ITGA9,0.055031491,Uterus,GTEx
CTNNB1,0.184613388,Uterus,GTEx
RHOA,-0.126951624,Uterus,GTEx
PPM1M,-0.074200649,Uterus,GTEx
NISCH,0.199101538,Uterus,GTEx
PRKCD,-0.060899233,Uterus,GTEx
FLNB,0.275967323,Uterus,GTEx
MAGI1,-0.065784221,Uterus,GTEx
CD47,0.196647451,Uterus,GTEx
ITGB5,-0.202130674,Uterus,GTEx
HEG1,-0.029188335,Uterus,GTEx
PLD1,0.034529138,Uterus,GTEx
ECT2,0.029577904,Uterus,GTEx
PIK3CA,0.113134249,Uterus,GTEx
LPP,0.047345879,Uterus,GTEx
DLG1,0.148019697,Uterus,GTEx
ADD1,0.066102486,Uterus,GTEx
SHROOM3,-0.084606616,Uterus,GTEx
ARHGAP24,-0.002574145,Uterus,GTEx
GAB1,0.008037957,Uterus,GTEx
RAPGEF2,0.274416992,Uterus,GTEx
PALLD,0.033474819,Uterus,GTEx
CASP3,-0.162278884,Uterus,GTEx
SORBS2,0.071744816,Uterus,GTEx
FAT1,-0.00521802,Uterus,GTEx
EXOC3,0.140524765,Uterus,GTEx
CTNND2,0.068847892,Uterus,GTEx
TRIO,0.325138607,Uterus,GTEx
CDH18,-0.02507443,Uterus,GTEx
CDH12,0.024092963,Uterus,GTEx
CDH10,0.123827371,Uterus,GTEx
CDH9,0.263388574,Uterus,GTEx
CDH6,-0.069108619,Uterus,GTEx
PDZD2,0.233713297,Uterus,GTEx
ITGA1,-0.099234177,Uterus,GTEx
ITGA2,0.171790521,Uterus,GTEx
PDE4D,-0.086071372,Uterus,GTEx
RASA1,0.318715997,Uterus,GTEx
FER,0.223128312,Uterus,GTEx
PPP2CA,-0.092450841,Uterus,GTEx
CTNNA1,0.078952997,Uterus,GTEx
DIAPH1,0.033034197,Uterus,GTEx
ARHGAP26,0.062067386,Uterus,GTEx
DBN1,-0.037993001,Uterus,GTEx
NEDD9,-0.109505762,Uterus,GTEx
RNF5,-0.198376089,Uterus,GTEx
DEF6,0.052803088,Uterus,GTEx
CD2AP,0.048300489,Uterus,GTEx
MYO6,0.287617192,Uterus,GTEx
FYN,-0.008829759,Uterus,GTEx
MARCKS,-0.07107606,Uterus,GTEx
PTPRK,-0.033402596,Uterus,GTEx
EZR,0.049446338,Uterus,GTEx
GNA12,0.047179569,Uterus,GTEx
ACTB,-0.097030699,Uterus,GTEx
FSCN1,-0.077827452,Uterus,GTEx
RAC1,-0.227796661,Uterus,GTEx
ITGB8,0.334711668,Uterus,GTEx
ELMO1,-0.254884427,Uterus,GTEx
EGFR,0.07115206,Uterus,GTEx
LIMK1,0.002937414,Uterus,GTEx
HSPB1,-0.043775674,Uterus,GTEx
PTPN12,-0.193900974,Uterus,GTEx
KRIT1,0.240911481,Uterus,GTEx
TRIP6,-0.028602722,Uterus,GTEx
CBLL1,0.154168204,Uterus,GTEx
TES,-0.076511639,Uterus,GTEx
CAV1,-0.084457976,Uterus,GTEx
MET,-0.069674413,Uterus,GTEx
WASL,-0.117331998,Uterus,GTEx
ZYX,-0.058251313,Uterus,GTEx
KCNH2,0.01336491,Uterus,GTEx
DLC1,-0.154686537,Uterus,GTEx
SORBS3,-0.28848483,Uterus,GTEx
PTK2B,-0.078479538,Uterus,GTEx
ADAM9,0.02947595,Uterus,GTEx
LYN,-0.261774772,Uterus,GTEx
SDCBP,-0.236089081,Uterus,GTEx
PABPC1,-0.019582018,Uterus,GTEx
PTK2,-0.044612153,Uterus,GTEx
SCRIB,0.135682035,Uterus,GTEx
PLEC,0.115184174,Uterus,GTEx
SHARPIN,-0.230397016,Uterus,GTEx
TESK1,-0.163097343,Uterus,GTEx
TLN1,0.020278768,Uterus,GTEx
TJP2,-0.144639448,Uterus,GTEx
OSTF1,-0.161228287,Uterus,GTEx
SYK,0.050506415,Uterus,GTEx
SPTLC1,0.437535828,Uterus,GTEx
CORO2A,-0.150859911,Uterus,GTEx
ENG,-0.193237564,Uterus,GTEx
ABL1,-0.014122479,Uterus,GTEx
RAPGEF1,-0.048242914,Uterus,GTEx
VAV2,0.250546648,Uterus,GTEx
ITGA8,0.04800395,Uterus,GTEx
VIM,-0.250176203,Uterus,GTEx
ARHGAP21,0.282754135,Uterus,GTEx
ABI1,-0.085581638,Uterus,GTEx
MPP7,-0.013961542,Uterus,GTEx
SVIL,0.117287557,Uterus,GTEx
ARHGAP12,0.152638703,Uterus,GTEx
ITGB1,0.012807357,Uterus,GTEx
NRP1,0.022754466,Uterus,GTEx
PARD3,0.121795182,Uterus,GTEx
MAPK8,0.162528745,Uterus,GTEx
ANK3,0.234341758,Uterus,GTEx
CTNNA3,0.066979615,Uterus,GTEx
VCL,0.080481506,Uterus,GTEx
DLG5,0.443411605,Uterus,GTEx
LDB3,-0.040069337,Uterus,GTEx
PTEN,-0.01645608,Uterus,GTEx
SORBS1,-0.087697621,Uterus,GTEx
ADAM12,0.034748991,Uterus,GTEx
DOCK1,0.176333498,Uterus,GTEx
HRAS,-0.365435796,Uterus,GTEx
CD151,-0.090782911,Uterus,GTEx
ILK,-0.135992568,Uterus,GTEx
PARVA,-0.003890563,Uterus,GTEx
PLEKHA7,-0.185275575,Uterus,GTEx
PTPRJ,-0.094049421,Uterus,GTEx
CTNND1,0.275508202,Uterus,GTEx
LPXN,-0.003993357,Uterus,GTEx
SLC3A2,-0.022778881,Uterus,GTEx
FERMT3,-0.118088365,Uterus,GTEx
CAPN1,-0.113385034,Uterus,GTEx
CFL1,-0.023485509,Uterus,GTEx
CORO1B,-0.036538097,Uterus,GTEx
PPFIA1,0.050942083,Uterus,GTEx
CTTN,-0.017478312,Uterus,GTEx
INPPL1,0.059173042,Uterus,GTEx
MYO7A,0.044473508,Uterus,GTEx
PAK1,0.174707605,Uterus,GTEx
RDX,-0.022873012,Uterus,GTEx
LAYN,-0.122963261,Uterus,GTEx
CBL,-0.002317592,Uterus,GTEx
THY1,-0.109591814,Uterus,GTEx
ARHGEF12,0.126518075,Uterus,GTEx
ARHGAP32,0.353041637,Uterus,GTEx
PTPN6,0.022501928,Uterus,GTEx
PTPRO,0.153672591,Uterus,GTEx
TUBA1B,0.10169322,Uterus,GTEx
RACGAP1,0.198963564,Uterus,GTEx
LIMA1,0.014688564,Uterus,GTEx
ITGB7,0.252396765,Uterus,GTEx
ITGA5,-0.13404203,Uterus,GTEx
ITGA7,-0.165814042,Uterus,GTEx
LRP1,0.162062146,Uterus,GTEx
AGAP2,0.011293746,Uterus,GTEx
LIN7A,0.093462693,Uterus,GTEx
VEZT,0.039273802,Uterus,GTEx
SSH1,0.036870824,Uterus,GTEx
TRPV4,-0.035685035,Uterus,GTEx
GIT2,0.129634483,Uterus,GTEx
PTPN11,0.011708165,Uterus,GTEx
PXN,0.001766257,Uterus,GTEx
CLIP1,-0.009524864,Uterus,GTEx
STARD13,0.058833858,Uterus,GTEx
TRPC4,-0.084812441,Uterus,GTEx
LMO7,0.227156889,Uterus,GTEx
ARHGEF7,0.013558591,Uterus,GTEx
MMP14,0.078239137,Uterus,GTEx
CDH24,0.014470381,Uterus,GTEx
PRKD1,-0.097429511,Uterus,GTEx
ARHGAP5,0.141342488,Uterus,GTEx
ARF6,-0.140346575,Uterus,GTEx
FERMT2,-0.002572446,Uterus,GTEx
KTN1,-0.010683473,Uterus,GTEx
AKAP5,0.053479995,Uterus,GTEx
HSPA2,-0.092289235,Uterus,GTEx
ACTN1,0.005638737,Uterus,GTEx
PSEN1,0.043578014,Uterus,GTEx
NUMB,0.113789533,Uterus,GTEx
DYNC1H1,0.260711774,Uterus,GTEx
ZFYVE21,-0.038550205,Uterus,GTEx
AKT1,-0.049024796,Uterus,GTEx
TJP1,0.107452562,Uterus,GTEx
TRPM7,0.251501139,Uterus,GTEx
CGNL1,0.170961155,Uterus,GTEx
ADAM10,0.131061759,Uterus,GTEx
ITGA11,0.014904822,Uterus,GTEx
CSK,-0.044845641,Uterus,GTEx
PEAK1,0.033742003,Uterus,GTEx
CIB2,0.056803258,Uterus,GTEx
CIB1,-0.335981083,Uterus,GTEx
IQGAP1,0.224432115,Uterus,GTEx
SYNM,-0.075647077,Uterus,GTEx
MAPK8IP3,0.152673506,Uterus,GTEx
PKD1,0.322187786,Uterus,GTEx
PDPK1,0.14028438,Uterus,GTEx
NUDT16L1,-0.032410474,Uterus,GTEx
SH2B1,0.107852843,Uterus,GTEx
ITGAL,0.185702681,Uterus,GTEx
ITGAM,0.006678784,Uterus,GTEx
ITGAX,-0.123384142,Uterus,GTEx
ITGAD,0.014323877,Uterus,GTEx
TGFB1I1,-0.086580407,Uterus,GTEx
CDH8,0.06319187,Uterus,GTEx
CDH11,0.092614654,Uterus,GTEx
CDH5,-0.110025627,Uterus,GTEx
CDH3,0.058123581,Uterus,GTEx
CDH1,0.044550496,Uterus,GTEx
BCAR1,-0.127861498,Uterus,GTEx
CDH15,-0.062270986,Uterus,GTEx
CRK,-0.154582817,Uterus,GTEx
ITGAE,-0.420215085,Uterus,GTEx
PFN1,-0.058296276,Uterus,GTEx
NDEL1,-0.151562448,Uterus,GTEx
MYH10,0.000409267,Uterus,GTEx
GIT1,-0.12743981,Uterus,GTEx
SRCIN1,0.10820612,Uterus,GTEx
LASP1,-0.100865463,Uterus,GTEx
GRB7,0.132768147,Uterus,GTEx
WIPF2,0.03392814,Uterus,GTEx
JUP,-0.063831281,Uterus,GTEx
STAT3,-0.14394432,Uterus,GTEx
ITGB3,0.140805565,Uterus,GTEx
ABI3,-0.200226745,Uterus,GTEx
ITGA3,-0.175338477,Uterus,GTEx
NME1,0.08797482,Uterus,GTEx
PRKCA,0.116762788,Uterus,GTEx
GRB2,-0.21951509,Uterus,GTEx
ITGB4,-0.061663182,Uterus,GTEx
SLC16A3,-0.096566572,Uterus,GTEx
MYOM1,0.050548646,Uterus,GTEx
PTPRM,0.04748569,Uterus,GTEx
PTPN2,0.077747555,Uterus,GTEx
ROCK1,0.069627622,Uterus,GTEx
CDH2,0.116071175,Uterus,GTEx
CDH20,0.032985835,Uterus,GTEx
CDH7,-0.122341742,Uterus,GTEx
CDH19,-0.116409819,Uterus,GTEx
PIP5K1C,-0.035950933,Uterus,GTEx
VAV1,-0.060249772,Uterus,GTEx
INSR,0.031641667,Uterus,GTEx
RAVER1,0.137496556,Uterus,GTEx
KEAP1,-0.049432475,Uterus,GTEx
DNM2,0.013238793,Uterus,GTEx
CALR,0.17171927,Uterus,GTEx
PRKACA,-0.035536574,Uterus,GTEx
SIPA1L3,0.231333655,Uterus,GTEx
ACTN4,0.005186434,Uterus,GTEx
CEACAM1,0.012171056,Uterus,GTEx
PLAUR,-0.198352283,Uterus,GTEx
PVR,0.038342988,Uterus,GTEx
VASP,-0.16557831,Uterus,GTEx
ARHGAP35,0.065544238,Uterus,GTEx
CYTH2,-0.023198453,Uterus,GTEx
PTPRH,0.185482509,Uterus,GTEx
CSNK2A1,0.24275545,Uterus,GTEx
SIRPA,-0.148173178,Uterus,GTEx
PTPRA,0.101964451,Uterus,GTEx
PRNP,-0.097012122,Uterus,GTEx
FERMT1,0.264887552,Uterus,GTEx
SRC,0.128991631,Uterus,GTEx
PLCG1,0.178982643,Uterus,GTEx
PTPRT,0.021909555,Uterus,GTEx
SDC4,-0.190993911,Uterus,GTEx
CDH22,0.050568685,Uterus,GTEx
PTPN1,0.08238018,Uterus,GTEx
CASS4,-0.043141218,Uterus,GTEx
CDH4,0.154849842,Uterus,GTEx
TIAM1,-0.160739048,Uterus,GTEx
ITGB2,0.093377405,Uterus,GTEx
ARVCF,0.021332813,Uterus,GTEx
CRKL,0.084785774,Uterus,GTEx
MAPK1,0.071151824,Uterus,GTEx
PPM1F,-0.047615632,Uterus,GTEx
NF2,0.031330478,Uterus,GTEx
RNF185,-0.109233388,Uterus,GTEx
MYH9,-0.008909179,Uterus,GTEx
SH3BP1,0.007658719,Uterus,GTEx
TRIOBP,0.025565494,Uterus,GTEx
CSNK1E,0.030137603,Uterus,GTEx
PARVB,-0.024474211,Uterus,GTEx
SH3KBP1,-0.111723194,Uterus,GTEx
SMPX,0.094977136,Uterus,GTEx
MSN,0.026703348,Uterus,GTEx
ARHGEF6,-0.088211968,Uterus,GTEx
FLNA,0.055379498,Uterus,GTEx
AJAP1,0.487534474,Breast,GTEx
FBLIM1,0.253388203,Breast,GTEx
CDC42,0.185980778,Breast,GTEx
ASAP3,0.475941665,Breast,GTEx
SLC9A1,0.708032409,Breast,GTEx
WASF2,0.286719325,Breast,GTEx
EPB41,0.535527272,Breast,GTEx
PTPRU,0.379048885,Breast,GTEx
FABP3,0.047314842,Breast,GTEx
MACF1,0.640247222,Breast,GTEx
PTPRF,0.322114029,Breast,GTEx
TSPAN1,0.464022685,Breast,GTEx
ITGB3BP,0.588296623,Breast,GTEx
NEXN,-0.084868938,Breast,GTEx
SSX2IP,0.658063522,Breast,GTEx
BCAR3,0.077815266,Breast,GTEx
VAV3,0.629468029,Breast,GTEx
RAP1A,-0.091553077,Breast,GTEx
CAPZA1,0.324791072,Breast,GTEx
ITGA10,0.280235228,Breast,GTEx
HAX1,0.035214555,Breast,GTEx
SHC1,-0.044790476,Breast,GTEx
ARHGEF2,0.503271352,Breast,GTEx
CSRP1,0.559836316,Breast,GTEx
PTPN14,0.624575188,Breast,GTEx
CAPN2,0.159619867,Breast,GTEx
ENAH,0.609446819,Breast,GTEx
ARF1,0.054642002,Breast,GTEx
RHOU,0.373618982,Breast,GTEx
ACP1,0.480753106,Breast,GTEx
ASAP2,0.29850568,Breast,GTEx
ITGB1BP1,-0.50675297,Breast,GTEx
SDC1,0.577456262,Breast,GTEx
SOS1,0.463816196,Breast,GTEx
SPTBN1,-0.057374303,Breast,GTEx
CTNNA2,0.490805238,Breast,GTEx
FHL2,0.358211703,Breast,GTEx
NCK2,0.569757011,Breast,GTEx
LIMS1,0.024102739,Breast,GTEx
ACTR3,0.28347149,Breast,GTEx
LIMS2,-0.123572671,Breast,GTEx
PKP4,0.728300647,Breast,GTEx
ITGB6,0.658490368,Breast,GTEx
ITGA6,0.547278774,Breast,GTEx
ITGA4,0.590835891,Breast,GTEx
ITGAV,0.191269802,Breast,GTEx
CASP8,0.357739898,Breast,GTEx
ABI2,0.81666464,Breast,GTEx
NRP2,0.086825583,Breast,GTEx
TNS1,-0.119625154,Breast,GTEx
ARPC2,-0.287816475,Breast,GTEx
IRS1,0.539349322,Breast,GTEx
INPP5D,0.497106411,Breast,GTEx
ILKAP,0.526736575,Breast,GTEx
ANKRD28,0.278093703,Breast,GTEx
ITGA9,0.141912697,Breast,GTEx
CTNNB1,0.694071761,Breast,GTEx
RHOA,-0.412129889,Breast,GTEx
PPM1M,0.387900087,Breast,GTEx
NISCH,0.759251527,Breast,GTEx
PRKCD,-0.209258644,Breast,GTEx
FLNB,0.575163105,Breast,GTEx
MAGI1,0.727486295,Breast,GTEx
CD47,0.760756274,Breast,GTEx
ITGB5,-0.238169785,Breast,GTEx
HEG1,-0.0881936,Breast,GTEx
PLD1,0.605872943,Breast,GTEx
ECT2,0.353129177,Breast,GTEx
PIK3CA,0.261055241,Breast,GTEx
LPP,0.485133376,Breast,GTEx
DLG1,0.646516631,Breast,GTEx
ADD1,0.23833305,Breast,GTEx
SHROOM3,0.68433527,Breast,GTEx
ARHGAP24,0.019960781,Breast,GTEx
GAB1,0.646724483,Breast,GTEx
RAPGEF2,0.569768565,Breast,GTEx
PALLD,0.49808092,Breast,GTEx
CASP3,0.140987549,Breast,GTEx
SORBS2,0.59460391,Breast,GTEx
FAT1,0.710542909,Breast,GTEx
EXOC3,0.648411124,Breast,GTEx
CTNND2,0.551326254,Breast,GTEx
TRIO,0.443686619,Breast,GTEx
CDH18,0.250774562,Breast,GTEx
CDH12,0.430546512,Breast,GTEx
CDH10,0.124412424,Breast,GTEx
CDH9,0.127318112,Breast,GTEx
CDH6,0.192038315,Breast,GTEx
PDZD2,-0.083869569,Breast,GTEx
ITGA1,-0.123510114,Breast,GTEx
ITGA2,0.787157868,Breast,GTEx
PDE4D,0.174696089,Breast,GTEx
RASA1,0.752419697,Breast,GTEx
FER,0.640664605,Breast,GTEx
PPP2CA,0.362249776,Breast,GTEx
CTNNA1,0.457210834,Breast,GTEx
DIAPH1,0.513252364,Breast,GTEx
ARHGAP26,0.425359564,Breast,GTEx
DBN1,0.030554058,Breast,GTEx
NEDD9,0.130920144,Breast,GTEx
RNF5,0.398861874,Breast,GTEx
DEF6,0.692532331,Breast,GTEx
CD2AP,0.667433312,Breast,GTEx
MYO6,0.737516789,Breast,GTEx
FYN,-0.324908524,Breast,GTEx
MARCKS,0.597691561,Breast,GTEx
PTPRK,0.700397558,Breast,GTEx
EZR,0.621443572,Breast,GTEx
GNA12,-0.202792179,Breast,GTEx
ACTB,0.301113957,Breast,GTEx
FSCN1,0.361201316,Breast,GTEx
RAC1,0.194129996,Breast,GTEx
ITGB8,0.673131439,Breast,GTEx
ELMO1,-0.177589413,Breast,GTEx
EGFR,0.291091262,Breast,GTEx
LIMK1,0.331319571,Breast,GTEx
HSPB1,-0.067184596,Breast,GTEx
PTPN12,0.152165926,Breast,GTEx
KRIT1,0.693646493,Breast,GTEx
TRIP6,0.618158126,Breast,GTEx
CBLL1,0.51995488,Breast,GTEx
TES,0.395605206,Breast,GTEx
CAV1,-0.356181761,Breast,GTEx
MET,0.324224508,Breast,GTEx
WASL,0.514373169,Breast,GTEx
ZYX,0.384677458,Breast,GTEx
KCNH2,0.498956289,Breast,GTEx
DLC1,-0.174080844,Breast,GTEx
SORBS3,0.113134817,Breast,GTEx
PTK2B,0.269251862,Breast,GTEx
ADAM9,0.155119437,Breast,GTEx
LYN,0.341359698,Breast,GTEx
SDCBP,-0.346101475,Breast,GTEx
PABPC1,0.389565363,Breast,GTEx
PTK2,0.463095604,Breast,GTEx
SCRIB,0.620562322,Breast,GTEx
PLEC,0.512493644,Breast,GTEx
SHARPIN,-0.010081205,Breast,GTEx
TESK1,-0.343713487,Breast,GTEx
TLN1,-0.1709936,Breast,GTEx
TJP2,-0.151577914,Breast,GTEx
OSTF1,-0.214277515,Breast,GTEx
SYK,0.265945152,Breast,GTEx
SPTLC1,0.485532754,Breast,GTEx
CORO2A,0.635537195,Breast,GTEx
ENG,-0.427111141,Breast,GTEx
ABL1,0.200330816,Breast,GTEx
RAPGEF1,0.40540823,Breast,GTEx
VAV2,0.673955705,Breast,GTEx
ITGA8,0.24851778,Breast,GTEx
VIM,-0.310314268,Breast,GTEx
ARHGAP21,0.490725325,Breast,GTEx
ABI1,0.672881263,Breast,GTEx
MPP7,0.586172927,Breast,GTEx
SVIL,0.604905599,Breast,GTEx
ARHGAP12,0.775834229,Breast,GTEx
ITGB1,-0.068483735,Breast,GTEx
NRP1,-0.222497881,Breast,GTEx
PARD3,0.6309119,Breast,GTEx
MAPK8,0.726834803,Breast,GTEx
ANK3,0.793919583,Breast,GTEx
CTNNA3,0.370898831,Breast,GTEx
VCL,0.383213648,Breast,GTEx
DLG5,0.557134498,Breast,GTEx
LDB3,-0.062581349,Breast,GTEx
PTEN,-0.217921495,Breast,GTEx
SORBS1,-0.362158302,Breast,GTEx
ADAM12,0.129945084,Breast,GTEx
DOCK1,0.630887059,Breast,GTEx
HRAS,0.260554388,Breast,GTEx
CD151,-0.292105538,Breast,GTEx
ILK,0.282773656,Breast,GTEx
PARVA,-0.270534678,Breast,GTEx
PLEKHA7,0.735989317,Breast,GTEx
PTPRJ,0.616193466,Breast,GTEx
CTNND1,0.732161998,Breast,GTEx
LPXN,0.510335149,Breast,GTEx
SLC3A2,0.40009238,Breast,GTEx
FERMT3,-0.194016019,Breast,GTEx
CAPN1,0.53780679,Breast,GTEx
CFL1,-0.243243842,Breast,GTEx
CORO1B,0.283016753,Breast,GTEx
PPFIA1,0.429381593,Breast,GTEx
CTTN,0.425519325,Breast,GTEx
INPPL1,0.659407857,Breast,GTEx
MYO7A,0.052097305,Breast,GTEx
PAK1,0.696405931,Breast,GTEx
RDX,-0.049927428,Breast,GTEx
LAYN,0.49319181,Breast,GTEx
CBL,0.417452062,Breast,GTEx
THY1,0.126849414,Breast,GTEx
ARHGEF12,0.61461581,Breast,GTEx
ARHGAP32,0.823861487,Breast,GTEx
PTPN6,0.518821526,Breast,GTEx
PTPRO,0.085690173,Breast,GTEx
TUBA1B,-0.192577031,Breast,GTEx
RACGAP1,0.360987293,Breast,GTEx
LIMA1,0.225312526,Breast,GTEx
ITGB7,0.57213916,Breast,GTEx
ITGA5,-0.092122498,Breast,GTEx
ITGA7,-0.419857966,Breast,GTEx
LRP1,-0.138745796,Breast,GTEx
AGAP2,0.436531302,Breast,GTEx
LIN7A,0.280945313,Breast,GTEx
VEZT,0.671597651,Breast,GTEx
SSH1,0.314841944,Breast,GTEx
TRPV4,0.543387474,Breast,GTEx
GIT2,0.551234223,Breast,GTEx
PTPN11,-0.097755708,Breast,GTEx
PXN,0.390700383,Breast,GTEx
CLIP1,0.346711018,Breast,GTEx
STARD13,0.209258316,Breast,GTEx
TRPC4,0.194689887,Breast,GTEx
LMO7,0.684919219,Breast,GTEx
ARHGEF7,0.238443815,Breast,GTEx
MMP14,0.120932546,Breast,GTEx
CDH24,0.377535961,Breast,GTEx
PRKD1,0.218531022,Breast,GTEx
ARHGAP5,0.703878961,Breast,GTEx
ARF6,0.554921771,Breast,GTEx
FERMT2,-0.40176348,Breast,GTEx
KTN1,0.447347577,Breast,GTEx
AKAP5,0.557614084,Breast,GTEx
HSPA2,-0.025392444,Breast,GTEx
ACTN1,0.449005395,Breast,GTEx
PSEN1,0.365597905,Breast,GTEx
NUMB,0.776664868,Breast,GTEx
DYNC1H1,0.324764931,Breast,GTEx
ZFYVE21,0.07006377,Breast,GTEx
AKT1,0.16822872,Breast,GTEx
TJP1,0.174495979,Breast,GTEx
TRPM7,0.672686601,Breast,GTEx
CGNL1,0.711498391,Breast,GTEx
ADAM10,0.588820807,Breast,GTEx
ITGA11,0.455004302,Breast,GTEx
CSK,0.315802586,Breast,GTEx
PEAK1,0.363334241,Breast,GTEx
CIB2,-0.060619473,Breast,GTEx
CIB1,0.202045259,Breast,GTEx
IQGAP1,0.512422442,Breast,GTEx
SYNM,0.57205876,Breast,GTEx
MAPK8IP3,0.677706025,Breast,GTEx
PKD1,0.516451597,Breast,GTEx
PDPK1,0.528815912,Breast,GTEx
NUDT16L1,0.31082329,Breast,GTEx
SH2B1,0.648299562,Breast,GTEx
ITGAL,0.485106762,Breast,GTEx
ITGAM,-0.067670906,Breast,GTEx
ITGAX,0.1977489,Breast,GTEx
ITGAD,0.09454455,Breast,GTEx
TGFB1I1,0.16840051,Breast,GTEx
CDH8,0.393494317,Breast,GTEx
CDH11,0.608415983,Breast,GTEx
CDH5,-0.329949911,Breast,GTEx
CDH3,0.559610669,Breast,GTEx
CDH1,0.66490439,Breast,GTEx
BCAR1,0.307385532,Breast,GTEx
CDH15,0.375056351,Breast,GTEx
CRK,-0.299056245,Breast,GTEx
ITGAE,-0.00668675,Breast,GTEx
PFN1,-0.385519917,Breast,GTEx
NDEL1,0.452090802,Breast,GTEx
MYH10,0.432267179,Breast,GTEx
GIT1,-0.052085334,Breast,GTEx
SRCIN1,0.596159047,Breast,GTEx
LASP1,-0.001515436,Breast,GTEx
GRB7,0.585346104,Breast,GTEx
WIPF2,0.558635367,Breast,GTEx
JUP,0.709779713,Breast,GTEx
STAT3,0.299454156,Breast,GTEx
ITGB3,0.020553375,Breast,GTEx
ABI3,0.127088782,Breast,GTEx
ITGA3,0.614420379,Breast,GTEx
NME1,-0.152303163,Breast,GTEx
PRKCA,0.415411426,Breast,GTEx
GRB2,0.123678756,Breast,GTEx
ITGB4,0.466054957,Breast,GTEx
SLC16A3,-0.073139887,Breast,GTEx
MYOM1,0.123153068,Breast,GTEx
PTPRM,-0.394664058,Breast,GTEx
PTPN2,0.597163206,Breast,GTEx
ROCK1,0.516477625,Breast,GTEx
CDH2,0.274996691,Breast,GTEx
CDH20,-0.21327953,Breast,GTEx
CDH7,0.113591995,Breast,GTEx
CDH19,0.023802573,Breast,GTEx
PIP5K1C,0.446654153,Breast,GTEx
VAV1,0.204779356,Breast,GTEx
INSR,0.25852916,Breast,GTEx
RAVER1,0.358252249,Breast,GTEx
KEAP1,0.020461142,Breast,GTEx
DNM2,0.51782421,Breast,GTEx
CALR,0.134779383,Breast,GTEx
PRKACA,-0.13934229,Breast,GTEx
SIPA1L3,0.726141338,Breast,GTEx
ACTN4,0.467853329,Breast,GTEx
CEACAM1,0.539523869,Breast,GTEx
PLAUR,0.060887506,Breast,GTEx
PVR,0.160782509,Breast,GTEx
VASP,0.159868571,Breast,GTEx
ARHGAP35,0.305599285,Breast,GTEx
CYTH2,0.622416983,Breast,GTEx
PTPRH,0.32766427,Breast,GTEx
CSNK2A1,0.557350608,Breast,GTEx
SIRPA,-0.015362987,Breast,GTEx
PTPRA,0.522238646,Breast,GTEx
PRNP,0.546740632,Breast,GTEx
FERMT1,0.695428705,Breast,GTEx
SRC,0.623883001,Breast,GTEx
PLCG1,0.586147112,Breast,GTEx
PTPRT,0.630298629,Breast,GTEx
SDC4,0.566623079,Breast,GTEx
CDH22,0.386199674,Breast,GTEx
PTPN1,0.452765287,Breast,GTEx
CASS4,0.218401484,Breast,GTEx
