adhesome_gene,lncRNA,corr,condition
CD47,GAS5,0.41802377,GTEx
ITGB5,GAS5,0.540053398,GTEx
HEG1,GAS5,0.318842731,GTEx
PLD1,GAS5,0.414916007,GTEx
ECT2,GAS5,0.447184572,GTEx
PIK3CA,GAS5,0.579265101,GTEx
LPP,GAS5,0.507312508,GTEx
DLG1,GAS5,0.355192545,GTEx
ADD1,GAS5,0.317905646,GTEx
SHROOM3,GAS5,0.24140553,GTEx
ARHGAP24,GAS5,0.370951928,GTEx
GAB1,GAS5,0.330068683,GTEx
RAPGEF2,GAS5,0.30782025,GTEx
PALLD,GAS5,0.278494311,GTEx
CASP3,GAS5,0.392547978,GTEx
SORBS2,GAS5,0.056961368,GTEx
FAT1,GAS5,0.366199292,GTEx
EXOC3,GAS5,0.470082012,GTEx
CTNND2,GAS5,0.053511611,GTEx
TRIO,GAS5,0.421535271,GTEx
CDH18,GAS5,0.073485221,GTEx
CDH12,GAS5,0.045205214,GTEx
CDH10,GAS5,0.101590507,GTEx
CDH9,GAS5,-0.182911046,GTEx
CDH6,GAS5,0.200050589,GTEx
PDZD2,GAS5,0.144351598,GTEx
ITGA1,GAS5,0.317199857,GTEx
ITGA2,GAS5,0.41804184,GTEx
PDE4D,GAS5,0.146147774,GTEx
RASA1,GAS5,0.599353576,GTEx
FER,GAS5,0.545864669,GTEx
PPP2CA,GAS5,0.339426684,GTEx
CTNNA1,GAS5,0.503272055,GTEx
DIAPH1,GAS5,0.294561588,GTEx
ARHGAP26,GAS5,0.059436079,GTEx
DBN1,GAS5,0.33211404,GTEx
NEDD9,GAS5,0.321492749,GTEx
RNF5,GAS5,0.283785747,GTEx
DEF6,GAS5,0.377486329,GTEx
CD2AP,GAS5,0.602303553,GTEx
MYO6,GAS5,0.384271044,GTEx
FYN,GAS5,0.278851802,GTEx
MARCKS,GAS5,0.328283679,GTEx
PTPRK,GAS5,0.48716935,GTEx
EZR,GAS5,0.268152955,GTEx
GNA12,GAS5,0.257261733,GTEx
ACTB,GAS5,0.323613879,GTEx
FSCN1,GAS5,0.317229618,GTEx
RAC1,GAS5,0.502627626,GTEx
ITGB8,GAS5,0.275473551,GTEx
ELMO1,GAS5,0.044147454,GTEx
EGFR,GAS5,0.5885958,GTEx
LIMK1,GAS5,0.226414376,GTEx
HSPB1,GAS5,0.204774674,GTEx
PTPN12,GAS5,0.565771362,GTEx
KRIT1,GAS5,0.585403832,GTEx
TRIP6,GAS5,0.625104948,GTEx
CBLL1,GAS5,0.475791983,GTEx
TES,GAS5,0.36197897,GTEx
CAV1,GAS5,0.393603776,GTEx
MET,GAS5,0.441244856,GTEx
WASL,GAS5,0.424929107,GTEx
ZYX,GAS5,0.325067906,GTEx
KCNH2,GAS5,-0.148919385,GTEx
DLC1,GAS5,0.399791645,GTEx
SORBS3,GAS5,0.509793531,GTEx
PTK2B,GAS5,0.198699341,GTEx
ADAM9,GAS5,0.351238395,GTEx
LYN,GAS5,0.273163848,GTEx
SDCBP,GAS5,0.382620462,GTEx
PABPC1,GAS5,0.714979215,GTEx
PTK2,GAS5,0.352193444,GTEx
SCRIB,GAS5,0.496152452,GTEx
PLEC,GAS5,0.356555196,GTEx
SHARPIN,GAS5,0.397517175,GTEx
TESK1,GAS5,0.274856171,GTEx
TLN1,GAS5,0.343728334,GTEx
TJP2,GAS5,0.421474982,GTEx
OSTF1,GAS5,0.447571581,GTEx
SYK,GAS5,0.296838129,GTEx
SPTLC1,GAS5,0.657064404,GTEx
CORO2A,GAS5,0.217264581,GTEx
ENG,GAS5,0.330081009,GTEx
ABL1,GAS5,0.505121667,GTEx
RAPGEF1,GAS5,0.090861952,GTEx
VAV2,GAS5,0.466196918,GTEx
ITGA8,GAS5,0.253908891,GTEx
VIM,GAS5,0.491821309,GTEx
ARHGAP21,GAS5,0.229098541,GTEx
ABI1,GAS5,0.512373038,GTEx
MPP7,GAS5,0.232384093,GTEx
SVIL,GAS5,0.231232574,GTEx
ARHGAP12,GAS5,0.579723506,GTEx
ITGB1,GAS5,0.349568726,GTEx
NRP1,GAS5,0.440018221,GTEx
PARD3,GAS5,0.462926678,GTEx
MAPK8,GAS5,0.503685192,GTEx
ANK3,GAS5,-0.096672287,GTEx
CTNNA3,GAS5,-0.219206482,GTEx
VCL,GAS5,0.329299799,GTEx
DLG5,GAS5,0.450241518,GTEx
LDB3,GAS5,0.105887273,GTEx
PTEN,GAS5,0.423956239,GTEx
SORBS1,GAS5,0.023503911,GTEx
ADAM12,GAS5,0.149494744,GTEx
DOCK1,GAS5,0.569641923,GTEx
HRAS,GAS5,0.276342133,GTEx
CD151,GAS5,0.399636008,GTEx
ILK,GAS5,0.425859855,GTEx
PARVA,GAS5,0.449332532,GTEx
PLEKHA7,GAS5,0.398416641,GTEx
PTPRJ,GAS5,0.062150322,GTEx
CTNND1,GAS5,0.613800574,GTEx
LPXN,GAS5,0.351954665,GTEx
SLC3A2,GAS5,0.55486949,GTEx
FERMT3,GAS5,0.265607402,GTEx
CAPN1,GAS5,0.507566811,GTEx
CFL1,GAS5,0.224668001,GTEx
CORO1B,GAS5,0.532741098,GTEx
PPFIA1,GAS5,0.4855029,GTEx
CTTN,GAS5,0.586857562,GTEx
INPPL1,GAS5,0.385304351,GTEx
MYO7A,GAS5,0.202529637,GTEx
PAK1,GAS5,0.086027461,GTEx
RDX,GAS5,0.288811969,GTEx
LAYN,GAS5,0.410561091,GTEx
CBL,GAS5,0.348191322,GTEx
THY1,GAS5,0.116624758,GTEx
ARHGEF12,GAS5,0.462769255,GTEx
ARHGAP32,GAS5,0.376753016,GTEx
PTPN6,GAS5,0.288261985,GTEx
PTPRO,GAS5,0.112519299,GTEx
TUBA1B,GAS5,0.163666532,GTEx
RACGAP1,GAS5,0.33432123,GTEx
LIMA1,GAS5,0.551145625,GTEx
ITGB7,GAS5,0.347671336,GTEx
ITGA5,GAS5,0.38987436,GTEx
ITGA7,GAS5,0.082735978,GTEx
LRP1,GAS5,0.442036321,GTEx
AGAP2,GAS5,-0.239603135,GTEx
LIN7A,GAS5,0.157592148,GTEx
VEZT,GAS5,0.447225987,GTEx
SSH1,GAS5,0.351973798,GTEx
TRPV4,GAS5,0.409047112,GTEx
GIT2,GAS5,0.301419599,GTEx
PTPN11,GAS5,0.199099568,GTEx
PXN,GAS5,0.351252274,GTEx
CLIP1,GAS5,0.237799361,GTEx
STARD13,GAS5,0.418448571,GTEx
TRPC4,GAS5,0.191249598,GTEx
LMO7,GAS5,0.105504781,GTEx
ARHGEF7,GAS5,0.467322499,GTEx
MMP14,GAS5,0.631156817,GTEx
CDH24,GAS5,0.41632007,GTEx
PRKD1,GAS5,0.376647294,GTEx
ARHGAP5,GAS5,0.351470747,GTEx
ARF6,GAS5,0.559735992,GTEx
FERMT2,GAS5,0.359370146,GTEx
KTN1,GAS5,0.330380998,GTEx
AKAP5,GAS5,0.095878991,GTEx
HSPA2,GAS5,0.040238507,GTEx
ACTN1,GAS5,0.414987812,GTEx
PSEN1,GAS5,0.456066336,GTEx
NUMB,GAS5,0.52870201,GTEx
DYNC1H1,GAS5,0.223002902,GTEx
ZFYVE21,GAS5,0.403275803,GTEx
AKT1,GAS5,0.411453803,GTEx
TJP1,GAS5,0.415857817,GTEx
TRPM7,GAS5,0.623181029,GTEx
CGNL1,GAS5,0.257385199,GTEx
ADAM10,GAS5,0.475660708,GTEx
ITGA11,GAS5,0.269009423,GTEx
CSK,GAS5,0.389885539,GTEx
PEAK1,GAS5,0.46280107,GTEx
CIB2,GAS5,0.027020326,GTEx
CIB1,GAS5,0.348438921,GTEx
IQGAP1,GAS5,0.482117992,GTEx
SYNM,GAS5,-0.031690065,GTEx
MAPK8IP3,GAS5,0.340519997,GTEx
PKD1,GAS5,0.213561211,GTEx
PDPK1,GAS5,0.318840349,GTEx
NUDT16L1,GAS5,0.148760942,GTEx
SH2B1,GAS5,0.358802412,GTEx
ITGAL,GAS5,0.242670042,GTEx
ITGAM,GAS5,0.169377668,GTEx
ITGAX,GAS5,0.145123747,GTEx
ITGAD,GAS5,0.030805555,GTEx
TGFB1I1,GAS5,0.485876818,GTEx
CDH8,GAS5,0.07230453,GTEx
CDH11,GAS5,0.430467792,GTEx
CDH5,GAS5,0.286471142,GTEx
CDH3,GAS5,0.105477599,GTEx
CDH1,GAS5,0.25865167,GTEx
BCAR1,GAS5,0.237514934,GTEx
CDH15,GAS5,0.15753574,GTEx
CRK,GAS5,0.460134406,GTEx
ITGAE,GAS5,0.469097901,GTEx
PFN1,GAS5,0.272021327,GTEx
NDEL1,GAS5,0.412165858,GTEx
MYH10,GAS5,0.305685783,GTEx
GIT1,GAS5,0.243783465,GTEx
SRCIN1,GAS5,0.222340366,GTEx
LASP1,GAS5,0.379507771,GTEx
GRB7,GAS5,0.246298599,GTEx
WIPF2,GAS5,0.396489995,GTEx
JUP,GAS5,0.264009166,GTEx
STAT3,GAS5,0.395235941,GTEx
ITGB3,GAS5,0.367874296,GTEx
ABI3,GAS5,0.251131139,GTEx
ITGA3,GAS5,0.431623217,GTEx
NME1,GAS5,0.228506382,GTEx
PRKCA,GAS5,0.056114044,GTEx
GRB2,GAS5,0.168453534,GTEx
ITGB4,GAS5,0.323897738,GTEx
SLC16A3,GAS5,0.210599128,GTEx
MYOM1,GAS5,0.014352044,GTEx
PTPRM,GAS5,0.35051882,GTEx
PTPN2,GAS5,0.642372088,GTEx
ROCK1,GAS5,0.466179142,GTEx
CDH2,GAS5,-0.173086547,GTEx
CDH20,GAS5,0.143570912,GTEx
CDH7,GAS5,-0.036726741,GTEx
CDH19,GAS5,0.115479299,GTEx
PIP5K1C,GAS5,0.235959754,GTEx
VAV1,GAS5,0.206201733,GTEx
INSR,GAS5,0.362971004,GTEx
RAVER1,GAS5,0.479313131,GTEx
KEAP1,GAS5,0.369977498,GTEx
DNM2,GAS5,0.369138361,GTEx
CALR,GAS5,0.400292679,GTEx
PRKACA,GAS5,-0.14474221,GTEx
SIPA1L3,GAS5,0.446610667,GTEx
ACTN4,GAS5,0.528442096,GTEx
CEACAM1,GAS5,0.213176346,GTEx
PLAUR,GAS5,0.397436049,GTEx
PVR,GAS5,0.284748372,GTEx
VASP,GAS5,0.299928852,GTEx
ARHGAP35,GAS5,0.143776396,GTEx
CYTH2,GAS5,0.551196993,GTEx
PTPRH,GAS5,0.22177402,GTEx
CSNK2A1,GAS5,0.525704816,GTEx
SIRPA,GAS5,0.123697001,GTEx
PTPRA,GAS5,0.364147803,GTEx
PRNP,GAS5,0.205342531,GTEx
FERMT1,GAS5,0.271274717,GTEx
SRC,GAS5,0.481177914,GTEx
PLCG1,GAS5,0.503701921,GTEx
PTPRT,GAS5,0.14821165,GTEx
SDC4,GAS5,0.418242754,GTEx
CDH22,GAS5,0.074431218,GTEx
PTPN1,GAS5,0.46268489,GTEx
CASS4,GAS5,0.130060691,GTEx
CDH4,GAS5,0.116679399,GTEx
TIAM1,GAS5,0.240674019,GTEx
ITGB2,GAS5,0.199499903,GTEx
ARVCF,GAS5,0.17313505,GTEx
CRKL,GAS5,0.347407928,GTEx
MAPK1,GAS5,0.202064798,GTEx
PPM1F,GAS5,0.446308053,GTEx
NF2,GAS5,0.092358046,GTEx
RNF185,GAS5,0.531368948,GTEx
MYH9,GAS5,0.547926059,GTEx
SH3BP1,GAS5,0.349763178,GTEx
TRIOBP,GAS5,0.513952625,GTEx
CSNK1E,GAS5,0.638998036,GTEx
PARVB,GAS5,0.124520168,GTEx
SH3KBP1,GAS5,0.291043866,GTEx
SMPX,GAS5,-0.137330542,GTEx
MSN,GAS5,0.359760989,GTEx
ARHGEF6,GAS5,0.165220702,GTEx
FLNA,GAS5,0.517499504,GTEx
AJAP1,AIRN,0.127868008,GTEx
FBLIM1,AIRN,-0.091385975,GTEx
CDC42,AIRN,0.051182684,GTEx
ASAP3,AIRN,0.037206715,GTEx
SLC9A1,AIRN,0.120570368,GTEx
WASF2,AIRN,-0.033675531,GTEx
EPB41,AIRN,0.132686798,GTEx
PTPRU,AIRN,0.084911672,GTEx
FABP3,AIRN,0.090108894,GTEx
MACF1,AIRN,0.085566896,GTEx
PTPRF,AIRN,0.017853807,GTEx
TSPAN1,AIRN,0.004563865,GTEx
ITGB3BP,AIRN,0.065435951,GTEx
NEXN,AIRN,-0.153223912,GTEx
SSX2IP,AIRN,0.105190973,GTEx
BCAR3,AIRN,-0.068618982,GTEx
VAV3,AIRN,0.139508549,GTEx
RAP1A,AIRN,0.023022257,GTEx
CAPZA1,AIRN,0.138903658,GTEx
ITGA10,AIRN,-0.021276449,GTEx
HAX1,AIRN,-0.054396823,GTEx
SHC1,AIRN,-0.01911338,GTEx
ARHGEF2,AIRN,0.142450677,GTEx
CSRP1,AIRN,0.092226492,GTEx
PTPN14,AIRN,-0.124702932,GTEx
CAPN2,AIRN,-0.017533579,GTEx
ENAH,AIRN,-0.001436934,GTEx
ARF1,AIRN,0.058515337,GTEx
RHOU,AIRN,0.029285009,GTEx
ACP1,AIRN,0.046612604,GTEx
ASAP2,AIRN,0.022222874,GTEx
ITGB1BP1,AIRN,0.065010997,GTEx
SDC1,AIRN,-0.029337837,GTEx
SOS1,AIRN,0.028597882,GTEx
SPTBN1,AIRN,0.061598843,GTEx
CTNNA2,AIRN,-0.027458989,GTEx
FHL2,AIRN,-0.148668679,GTEx
NCK2,AIRN,0.031362355,GTEx
LIMS1,AIRN,-0.063104396,GTEx
ACTR3,AIRN,0.05299374,GTEx
LIMS2,AIRN,-0.078363846,GTEx
PKP4,AIRN,0.190398367,GTEx
ITGB6,AIRN,-0.206133987,GTEx
ITGA6,AIRN,0.031887631,GTEx
ITGA4,AIRN,0.085906172,GTEx
ITGAV,AIRN,0.031086125,GTEx
CASP8,AIRN,-0.010527408,GTEx
ABI2,AIRN,0.249482868,GTEx
NRP2,AIRN,0.04523256,GTEx
TNS1,AIRN,-0.118306007,GTEx
ARPC2,AIRN,0.050765879,GTEx
IRS1,AIRN,-0.047572111,GTEx
INPP5D,AIRN,0.117068632,GTEx
ILKAP,AIRN,0.098748586,GTEx
ANKRD28,AIRN,0.021767032,GTEx
ITGA9,AIRN,-0.081686882,GTEx
CTNNB1,AIRN,0.044711482,GTEx
RHOA,AIRN,-0.01299499,GTEx
PPM1M,AIRN,0.142117557,GTEx
NISCH,AIRN,0.168445408,GTEx
PRKCD,AIRN,0.028016426,GTEx
FLNB,AIRN,-0.019441035,GTEx
MAGI1,AIRN,0.060211195,GTEx
CD47,AIRN,0.193834555,GTEx
ITGB5,AIRN,-0.051870158,GTEx
HEG1,AIRN,-0.094275766,GTEx
PLD1,AIRN,0.067468573,GTEx
ECT2,AIRN,0.045285387,GTEx
PIK3CA,AIRN,0.007266427,GTEx
LPP,AIRN,-0.045959799,GTEx
DLG1,AIRN,0.103169125,GTEx
ADD1,AIRN,0.061515033,GTEx
SHROOM3,AIRN,-0.014051113,GTEx
ARHGAP24,AIRN,-0.006460732,GTEx
GAB1,AIRN,0.047213955,GTEx
RAPGEF2,AIRN,0.059795769,GTEx
PALLD,AIRN,-0.09969028,GTEx
CASP3,AIRN,0.012688828,GTEx
SORBS2,AIRN,-0.038437196,GTEx
FAT1,AIRN,-0.060451645,GTEx
EXOC3,AIRN,0.030232292,GTEx
CTNND2,AIRN,-0.002903145,GTEx
TRIO,AIRN,0.022045301,GTEx
CDH18,AIRN,0.046572239,GTEx
CDH12,AIRN,0.179700817,GTEx
CDH10,AIRN,0.00597773,GTEx
CDH9,AIRN,0.031638624,GTEx
CDH6,AIRN,0.117080452,GTEx
PDZD2,AIRN,0.184298644,GTEx
ITGA1,AIRN,-0.090411786,GTEx
ITGA2,AIRN,0.020488148,GTEx
PDE4D,AIRN,-0.023027893,GTEx
RASA1,AIRN,0.098700975,GTEx
FER,AIRN,0.058762387,GTEx
PPP2CA,AIRN,0.15167202,GTEx
CTNNA1,AIRN,-0.092602892,GTEx
DIAPH1,AIRN,0.019045138,GTEx
ARHGAP26,AIRN,0.136296644,GTEx
DBN1,AIRN,0.050465224,GTEx
NEDD9,AIRN,-0.020608267,GTEx
RNF5,AIRN,0.017576044,GTEx
DEF6,AIRN,0.117014249,GTEx
CD2AP,AIRN,0.007132375,GTEx
MYO6,AIRN,0.131226684,GTEx
FYN,AIRN,0.20948806,GTEx
MARCKS,AIRN,0.280436151,GTEx
PTPRK,AIRN,-0.048345194,GTEx
EZR,AIRN,0.045913806,GTEx
GNA12,AIRN,0.071415869,GTEx
ACTB,AIRN,0.031395452,GTEx
FSCN1,AIRN,0.216555062,GTEx
RAC1,AIRN,0.086687348,GTEx
ITGB8,AIRN,0.218889787,GTEx
ELMO1,AIRN,0.304679781,GTEx
EGFR,AIRN,-0.034416347,GTEx
LIMK1,AIRN,0.279260146,GTEx
HSPB1,AIRN,-0.051104488,GTEx
PTPN12,AIRN,0.038276349,GTEx
KRIT1,AIRN,0.025287097,GTEx
TRIP6,AIRN,-0.02106424,GTEx
CBLL1,AIRN,-0.0282744,GTEx
TES,AIRN,-0.056202936,GTEx
CAV1,AIRN,-0.095902319,GTEx
MET,AIRN,-0.084896232,GTEx
WASL,AIRN,0.090558648,GTEx
ZYX,AIRN,0.023151302,GTEx
KCNH2,AIRN,0.168045648,GTEx
DLC1,AIRN,-0.011547215,GTEx
SORBS3,AIRN,0.025825778,GTEx
PTK2B,AIRN,0.220828657,GTEx
ADAM9,AIRN,-0.055441983,GTEx
LYN,AIRN,0.032242783,GTEx
SDCBP,AIRN,0.092569731,GTEx
PABPC1,AIRN,0.012240848,GTEx
PTK2,AIRN,0.09377374,GTEx
SCRIB,AIRN,0.062904122,GTEx
PLEC,AIRN,-0.050499886,GTEx
SHARPIN,AIRN,0.056882519,GTEx
TESK1,AIRN,-0.023403035,GTEx
TLN1,AIRN,-0.055587281,GTEx
TJP2,AIRN,-0.010373151,GTEx
OSTF1,AIRN,0.150036379,GTEx
SYK,AIRN,0.028698251,GTEx
SPTLC1,AIRN,0.040354147,GTEx
CORO2A,AIRN,0.193507576,GTEx
ENG,AIRN,-0.031122788,GTEx
ABL1,AIRN,-0.026705251,GTEx
RAPGEF1,AIRN,0.010982627,GTEx
VAV2,AIRN,-0.027276828,GTEx
ITGA8,AIRN,0.015856505,GTEx
VIM,AIRN,0.057298257,GTEx
ARHGAP21,AIRN,0.164143943,GTEx
ABI1,AIRN,0.220016509,GTEx
MPP7,AIRN,0.02671642,GTEx
SVIL,AIRN,-0.061972732,GTEx
ARHGAP12,AIRN,0.118774243,GTEx
ITGB1,AIRN,-0.113230136,GTEx
NRP1,AIRN,-0.033437163,GTEx
PARD3,AIRN,-0.025729992,GTEx
MAPK8,AIRN,0.146813718,GTEx
ANK3,AIRN,0.09758246,GTEx
CTNNA3,AIRN,0.029464402,GTEx
VCL,AIRN,-0.127675837,GTEx
DLG5,AIRN,0.016463793,GTEx
LDB3,AIRN,-0.032528941,GTEx
PTEN,AIRN,0.117571079,GTEx
SORBS1,AIRN,-0.096953935,GTEx
ADAM12,AIRN,0.175684999,GTEx
DOCK1,AIRN,0.03719024,GTEx
HRAS,AIRN,0.187709431,GTEx
CD151,AIRN,-0.11931957,GTEx
ILK,AIRN,-0.003079635,GTEx
PARVA,AIRN,-0.04543187,GTEx
PLEKHA7,AIRN,0.021028136,GTEx
PTPRJ,AIRN,0.103493683,GTEx
CTNND1,AIRN,0.025589012,GTEx
LPXN,AIRN,0.148067451,GTEx
SLC3A2,AIRN,0.089098281,GTEx
FERMT3,AIRN,-0.092588225,GTEx
CAPN1,AIRN,0.047973692,GTEx
CFL1,AIRN,0.09400344,GTEx
CORO1B,AIRN,-0.058744837,GTEx
PPFIA1,AIRN,0.106737264,GTEx
CTTN,AIRN,0.006528656,GTEx
INPPL1,AIRN,0.015621963,GTEx
MYO7A,AIRN,0.045106185,GTEx
PAK1,AIRN,0.269911932,GTEx
RDX,AIRN,-0.045501015,GTEx
LAYN,AIRN,0.074397978,GTEx
CBL,AIRN,0.135821148,GTEx
THY1,AIRN,0.160078871,GTEx
ARHGEF12,AIRN,0.065335979,GTEx
ARHGAP32,AIRN,0.197523144,GTEx
PTPN6,AIRN,0.011004887,GTEx
PTPRO,AIRN,0.126566685,GTEx
TUBA1B,AIRN,0.059614806,GTEx
RACGAP1,AIRN,0.090343498,GTEx
LIMA1,AIRN,0.02937685,GTEx
ITGB7,AIRN,0.100857615,GTEx
ITGA5,AIRN,-0.020011967,GTEx
ITGA7,AIRN,-0.077165957,GTEx
LRP1,AIRN,0.069338743,GTEx
AGAP2,AIRN,0.055872011,GTEx
LIN7A,AIRN,0.182374695,GTEx
VEZT,AIRN,0.012922374,GTEx
SSH1,AIRN,0.036869708,GTEx
TRPV4,AIRN,-0.00767662,GTEx
GIT2,AIRN,0.16202474,GTEx
PTPN11,AIRN,-0.055539373,GTEx
PXN,AIRN,0.025433083,GTEx
CLIP1,AIRN,-0.050660619,GTEx
STARD13,AIRN,-0.072802946,GTEx
TRPC4,AIRN,0.068461719,GTEx
LMO7,AIRN,-0.041882471,GTEx
ARHGEF7,AIRN,0.139995031,GTEx
MMP14,AIRN,-0.029649148,GTEx
CDH24,AIRN,0.134696911,GTEx
PRKD1,AIRN,0.022054684,GTEx
ARHGAP5,AIRN,0.120307367,GTEx
ARF6,AIRN,0.02515172,GTEx
FERMT2,AIRN,-0.021844831,GTEx
KTN1,AIRN,-0.118401678,GTEx
AKAP5,AIRN,0.143376645,GTEx
HSPA2,AIRN,-0.000706106,GTEx
ACTN1,AIRN,0.032741953,GTEx
PSEN1,AIRN,0.109553312,GTEx
NUMB,AIRN,0.108796144,GTEx
DYNC1H1,AIRN,-0.003541727,GTEx
ZFYVE21,AIRN,0.073517987,GTEx
AKT1,AIRN,-0.066925834,GTEx
TJP1,AIRN,-0.000114207,GTEx
TRPM7,AIRN,0.009194618,GTEx
CGNL1,AIRN,0.063886894,GTEx
ADAM10,AIRN,0.152811334,GTEx
ITGA11,AIRN,-0.055748378,GTEx
CSK,AIRN,0.121913215,GTEx
PEAK1,AIRN,0.017433865,GTEx
CIB2,AIRN,0.109670966,GTEx
CIB1,AIRN,-0.014396406,GTEx
IQGAP1,AIRN,-0.002760798,GTEx
SYNM,AIRN,-0.079621432,GTEx
MAPK8IP3,AIRN,0.31527743,GTEx
PKD1,AIRN,-0.015903906,GTEx
PDPK1,AIRN,0.086452524,GTEx
NUDT16L1,AIRN,0.161680257,GTEx
SH2B1,AIRN,0.129410103,GTEx
ITGAL,AIRN,0.0311803,GTEx
ITGAM,AIRN,-0.03380199,GTEx
ITGAX,AIRN,0.120921877,GTEx
ITGAD,AIRN,-0.016643531,GTEx
TGFB1I1,AIRN,-0.014584611,GTEx
CDH8,AIRN,0.151069647,GTEx
CDH11,AIRN,0.067009628,GTEx
CDH5,AIRN,-0.087744676,GTEx
CDH3,AIRN,0.165437073,GTEx
CDH1,AIRN,0.054275435,GTEx
BCAR1,AIRN,-0.022054414,GTEx
CDH15,AIRN,0.045848967,GTEx
CRK,AIRN,-0.094598839,GTEx
ITGAE,AIRN,0.060468877,GTEx
PFN1,AIRN,-0.024915426,GTEx
NDEL1,AIRN,0.219352929,GTEx
MYH10,AIRN,0.118990836,GTEx
GIT1,AIRN,0.260288288,GTEx
SRCIN1,AIRN,0.05312116,GTEx
LASP1,AIRN,0.062888951,GTEx
GRB7,AIRN,-0.023816653,GTEx
WIPF2,AIRN,0.203356411,GTEx
JUP,AIRN,-0.090830336,GTEx
STAT3,AIRN,-0.016925286,GTEx
ITGB3,AIRN,-0.045143258,GTEx
ABI3,AIRN,0.056434001,GTEx
ITGA3,AIRN,0.008104967,GTEx
NME1,AIRN,0.126321515,GTEx
PRKCA,AIRN,0.179551398,GTEx
GRB2,AIRN,0.116953647,GTEx
ITGB4,AIRN,0.021443926,GTEx
SLC16A3,AIRN,-0.015982947,GTEx
MYOM1,AIRN,-0.056663101,GTEx
PTPRM,AIRN,-0.07780367,GTEx
PTPN2,AIRN,0.145820604,GTEx
ROCK1,AIRN,-0.006849533,GTEx
CDH2,AIRN,0.149195061,GTEx
CDH20,AIRN,-0.051964406,GTEx
CDH7,AIRN,0.125287687,GTEx
CDH19,AIRN,0.002830763,GTEx
PIP5K1C,AIRN,0.061272931,GTEx
VAV1,AIRN,-0.011457697,GTEx
INSR,AIRN,-0.070184113,GTEx
RAVER1,AIRN,0.046854515,GTEx
KEAP1,AIRN,-0.123490432,GTEx
DNM2,AIRN,0.074711828,GTEx
CALR,AIRN,0.021390799,GTEx
PRKACA,AIRN,0.042396834,GTEx
SIPA1L3,AIRN,0.123422336,GTEx
ACTN4,AIRN,-0.021745417,GTEx
CEACAM1,AIRN,0.029654408,GTEx
PLAUR,AIRN,0.055478829,GTEx
PVR,AIRN,0.001468072,GTEx
VASP,AIRN,-0.043132299,GTEx
ARHGAP35,AIRN,-0.000967316,GTEx
CYTH2,AIRN,0.117846434,GTEx
PTPRH,AIRN,0.070943652,GTEx
CSNK2A1,AIRN,-0.034369881,GTEx
