adhesome_gene,corr,tissue
TNS1,0.118755813,Adipose Tissue
ARPC2,0.180582281,Adipose Tissue
IRS1,0.111319003,Adipose Tissue
INPP5D,0.463547712,Adipose Tissue
ILKAP,0.326285316,Adipose Tissue
ANKRD28,0.248647461,Adipose Tissue
ITGA9,0.125198662,Adipose Tissue
CTNNB1,0.264263138,Adipose Tissue
RHOA,0.165336882,Adipose Tissue
PPM1M,0.411511615,Adipose Tissue
NISCH,0.537786618,Adipose Tissue
PRKCD,-0.161432813,Adipose Tissue
FLNB,0.459176434,Adipose Tissue
MAGI1,0.409362429,Adipose Tissue
CD47,0.639146969,Adipose Tissue
ITGB5,0.158680104,Adipose Tissue
HEG1,0.135494941,Adipose Tissue
PLD1,0.495274893,Adipose Tissue
ECT2,0.240357344,Adipose Tissue
PIK3CA,0.283168538,Adipose Tissue
LPP,0.347988763,Adipose Tissue
DLG1,0.405181222,Adipose Tissue
ADD1,0.269876335,Adipose Tissue
SHROOM3,0.208187738,Adipose Tissue
ARHGAP24,0.365629958,Adipose Tissue
GAB1,0.576482489,Adipose Tissue
RAPGEF2,0.385419257,Adipose Tissue
PALLD,0.279760051,Adipose Tissue
CASP3,0.286352533,Adipose Tissue
SORBS2,0.193833527,Adipose Tissue
FAT1,0.322952008,Adipose Tissue
EXOC3,0.31076828,Adipose Tissue
CTNND2,0.27072026,Adipose Tissue
TRIO,0.446849049,Adipose Tissue
CDH18,0.25021767,Adipose Tissue
CDH12,0.072361629,Adipose Tissue
CDH10,0.124470149,Adipose Tissue
CDH9,-0.036746709,Adipose Tissue
CDH6,0.408240702,Adipose Tissue
PDZD2,0.065176446,Adipose Tissue
ITGA1,0.349875786,Adipose Tissue
ITGA2,0.437575118,Adipose Tissue
PDE4D,0.097950462,Adipose Tissue
RASA1,0.494787203,Adipose Tissue
FER,0.576129196,Adipose Tissue
PPP2CA,0.0993958,Adipose Tissue
CTNNA1,0.371564629,Adipose Tissue
DIAPH1,0.372114736,Adipose Tissue
ARHGAP26,0.167217061,Adipose Tissue
DBN1,0.247049973,Adipose Tissue
NEDD9,0.259662901,Adipose Tissue
RNF5,0.257819834,Adipose Tissue
DEF6,0.326437604,Adipose Tissue
CD2AP,0.474290388,Adipose Tissue
MYO6,0.355885225,Adipose Tissue
FYN,0.255595858,Adipose Tissue
MARCKS,0.431724636,Adipose Tissue
PTPRK,0.412418732,Adipose Tissue
EZR,-0.029001372,Adipose Tissue
GNA12,0.096136752,Adipose Tissue
ACTB,0.296892614,Adipose Tissue
FSCN1,0.376391634,Adipose Tissue
RAC1,0.275348769,Adipose Tissue
ITGB8,0.219980932,Adipose Tissue
ELMO1,0.329224371,Adipose Tissue
EGFR,0.085941779,Adipose Tissue
LIMK1,0.308375492,Adipose Tissue
HSPB1,0.111364782,Adipose Tissue
PTPN12,0.319277456,Adipose Tissue
KRIT1,0.576051659,Adipose Tissue
TRIP6,0.353947736,Adipose Tissue
CBLL1,0.339851492,Adipose Tissue
TES,0.148485223,Adipose Tissue
CAV1,0.16923839,Adipose Tissue
MET,0.187077221,Adipose Tissue
WASL,0.453536841,Adipose Tissue
ZYX,0.318729145,Adipose Tissue
KCNH2,0.12495417,Adipose Tissue
DLC1,0.074456281,Adipose Tissue
SORBS3,0.30536301,Adipose Tissue
PTK2B,0.167826454,Adipose Tissue
ADAM9,0.414092368,Adipose Tissue
LYN,0.212441521,Adipose Tissue
SDCBP,0.23574043,Adipose Tissue
PABPC1,0.237747996,Adipose Tissue
PTK2,0.449929235,Adipose Tissue
SCRIB,0.236343538,Adipose Tissue
PLEC,0.34808882,Adipose Tissue
SHARPIN,0.086778037,Adipose Tissue
TESK1,-0.166656583,Adipose Tissue
TLN1,0.160205616,Adipose Tissue
TJP2,0.046103379,Adipose Tissue
OSTF1,0.319025985,Adipose Tissue
SYK,0.204944597,Adipose Tissue
SPTLC1,0.492504067,Adipose Tissue
CORO2A,0.31631979,Adipose Tissue
ENG,0.101105143,Adipose Tissue
ABL1,0.192768395,Adipose Tissue
RAPGEF1,0.213680363,Adipose Tissue
VAV2,0.507709488,Adipose Tissue
ITGA8,0.154416575,Adipose Tissue
VIM,0.178481435,Adipose Tissue
ARHGAP21,0.301636887,Adipose Tissue
ABI1,0.497629384,Adipose Tissue
MPP7,0.273413523,Adipose Tissue
SVIL,0.373851458,Adipose Tissue
ARHGAP12,0.470142444,Adipose Tissue
ITGB1,0.14164585,Adipose Tissue
NRP1,0.458421652,Adipose Tissue
PARD3,0.117955158,Adipose Tissue
MAPK8,0.482972869,Adipose Tissue
ANK3,0.348711636,Adipose Tissue
CTNNA3,0.358341976,Adipose Tissue
VCL,0.489676159,Adipose Tissue
DLG5,0.417641257,Adipose Tissue
LDB3,0.107276624,Adipose Tissue
PTEN,-0.080304402,Adipose Tissue
SORBS1,-0.096108088,Adipose Tissue
ADAM12,0.100404861,Adipose Tissue
DOCK1,0.494344314,Adipose Tissue
HRAS,-0.15344763,Adipose Tissue
CD151,-0.175244673,Adipose Tissue
ILK,0.349980563,Adipose Tissue
PARVA,0.03110769,Adipose Tissue
PLEKHA7,0.222003235,Adipose Tissue
PTPRJ,0.295799753,Adipose Tissue
CTNND1,0.576192905,Adipose Tissue
LPXN,0.366154843,Adipose Tissue
SLC3A2,-0.012804162,Adipose Tissue
FERMT3,0.119941118,Adipose Tissue
CAPN1,0.316988844,Adipose Tissue
CFL1,0.021274878,Adipose Tissue
CORO1B,0.137941446,Adipose Tissue
PPFIA1,0.229306566,Adipose Tissue
CTTN,0.381836708,Adipose Tissue
INPPL1,0.395117707,Adipose Tissue
MYO7A,0.246230601,Adipose Tissue
PAK1,0.507017048,Adipose Tissue
RDX,0.307722161,Adipose Tissue
LAYN,0.216802455,Adipose Tissue
CBL,0.469280197,Adipose Tissue
THY1,0.325698379,Adipose Tissue
ARHGEF12,0.511199094,Adipose Tissue
ARHGAP32,0.607654104,Adipose Tissue
PTPN6,0.189976921,Adipose Tissue
PTPRO,0.305951677,Adipose Tissue
TUBA1B,0.202251924,Adipose Tissue
RACGAP1,0.283789362,Adipose Tissue
LIMA1,0.43299424,Adipose Tissue
ITGB7,0.408422377,Adipose Tissue
ITGA5,0.245775843,Adipose Tissue
ITGA7,-0.04088607,Adipose Tissue
LRP1,0.267972195,Adipose Tissue
AGAP2,0.227434401,Adipose Tissue
LIN7A,0.326188974,Adipose Tissue
VEZT,0.528415638,Adipose Tissue
SSH1,0.167034996,Adipose Tissue
TRPV4,0.182609925,Adipose Tissue
GIT2,0.488312906,Adipose Tissue
PTPN11,-0.065893669,Adipose Tissue
PXN,0.45561929,Adipose Tissue
CLIP1,0.245235378,Adipose Tissue
STARD13,0.335976552,Adipose Tissue
TRPC4,0.302739752,Adipose Tissue
LMO7,0.447766569,Adipose Tissue
ARHGEF7,0.424373634,Adipose Tissue
MMP14,0.243169844,Adipose Tissue
CDH24,0.321748222,Adipose Tissue
PRKD1,0.100558153,Adipose Tissue
ARHGAP5,0.525838125,Adipose Tissue
ARF6,0.281835605,Adipose Tissue
FERMT2,0.16608814,Adipose Tissue
KTN1,0.234142666,Adipose Tissue
AKAP5,0.341490152,Adipose Tissue
HSPA2,0.194604376,Adipose Tissue
ACTN1,0.296242433,Adipose Tissue
PSEN1,0.212540834,Adipose Tissue
NUMB,0.572998912,Adipose Tissue
DYNC1H1,0.380647312,Adipose Tissue
ZFYVE21,0.162759199,Adipose Tissue
AKT1,-0.066823886,Adipose Tissue
TJP1,0.453349473,Adipose Tissue
TRPM7,0.572735113,Adipose Tissue
CGNL1,0.265020958,Adipose Tissue
ADAM10,0.471755611,Adipose Tissue
ITGA11,0.381303196,Adipose Tissue
CSK,0.241409339,Adipose Tissue
PEAK1,0.545563197,Adipose Tissue
CIB2,0.168852504,Adipose Tissue
CIB1,0.030935378,Adipose Tissue
IQGAP1,0.56521538,Adipose Tissue
SYNM,0.095712792,Adipose Tissue
MAPK8IP3,0.510546334,Adipose Tissue
PKD1,0.33797399,Adipose Tissue
PDPK1,0.290585208,Adipose Tissue
NUDT16L1,-0.12914041,Adipose Tissue
SH2B1,0.408324643,Adipose Tissue
ITGAL,0.386891888,Adipose Tissue
ITGAM,0.157144861,Adipose Tissue
ITGAX,0.123735747,Adipose Tissue
ITGAD,0.238658446,Adipose Tissue
TGFB1I1,0.413257648,Adipose Tissue
CDH8,0.364179348,Adipose Tissue
CDH11,0.524455357,Adipose Tissue
CDH5,0.297002971,Adipose Tissue
CDH3,0.032961811,Adipose Tissue
CDH1,-0.004565023,Adipose Tissue
BCAR1,0.286036946,Adipose Tissue
CDH15,0.211157047,Adipose Tissue
CRK,-0.066024938,Adipose Tissue
ITGAE,0.072004365,Adipose Tissue
PFN1,-0.036154248,Adipose Tissue
NDEL1,0.306133057,Adipose Tissue
MYH10,0.308468793,Adipose Tissue
GIT1,0.127412328,Adipose Tissue
SRCIN1,-0.171638702,Adipose Tissue
LASP1,0.211105498,Adipose Tissue
GRB7,0.084900541,Adipose Tissue
WIPF2,0.500614728,Adipose Tissue
JUP,0.282722846,Adipose Tissue
STAT3,0.178276568,Adipose Tissue
ITGB3,0.359930151,Adipose Tissue
ABI3,0.215055756,Adipose Tissue
ITGA3,0.390554958,Adipose Tissue
NME1,-0.098628634,Adipose Tissue
PRKCA,0.432731046,Adipose Tissue
GRB2,0.096641272,Adipose Tissue
ITGB4,0.307266918,Adipose Tissue
SLC16A3,0.2032483,Adipose Tissue
MYOM1,0.262975677,Adipose Tissue
PTPRM,0.0863281,Adipose Tissue
PTPN2,0.328162738,Adipose Tissue
ROCK1,0.529922703,Adipose Tissue
CDH2,0.085117848,Adipose Tissue
CDH20,-0.213170883,Adipose Tissue
CDH7,0.083508184,Adipose Tissue
CDH19,0.064651298,Adipose Tissue
PIP5K1C,0.341718128,Adipose Tissue
VAV1,0.170746671,Adipose Tissue
INSR,-0.030482451,Adipose Tissue
RAVER1,0.084199357,Adipose Tissue
KEAP1,-0.071937879,Adipose Tissue
DNM2,0.381006205,Adipose Tissue
CALR,0.243860308,Adipose Tissue
PRKACA,0.132901446,Adipose Tissue
SIPA1L3,0.416004354,Adipose Tissue
ACTN4,0.434228817,Adipose Tissue
CEACAM1,0.00496267,Adipose Tissue
PLAUR,0.084498149,Adipose Tissue
PVR,0.123839694,Adipose Tissue
VASP,0.255077695,Adipose Tissue
ARHGAP35,-0.010323432,Adipose Tissue
CYTH2,0.355373642,Adipose Tissue
PTPRH,0.198142747,Adipose Tissue
CSNK2A1,0.388089979,Adipose Tissue
SIRPA,0.249481749,Adipose Tissue
PTPRA,0.435808091,Adipose Tissue
PRNP,0.390119293,Adipose Tissue
FERMT1,0.056679404,Adipose Tissue
SRC,0.376092782,Adipose Tissue
PLCG1,0.434664143,Adipose Tissue
PTPRT,0.263228283,Adipose Tissue
SDC4,-0.052342739,Adipose Tissue
CDH22,0.006612296,Adipose Tissue
PTPN1,0.202715853,Adipose Tissue
CASS4,0.173585865,Adipose Tissue
CDH4,0.100671176,Adipose Tissue
TIAM1,0.440471494,Adipose Tissue
ITGB2,0.11509217,Adipose Tissue
ARVCF,0.381877498,Adipose Tissue
CRKL,0.308654689,Adipose Tissue
MAPK1,0.499044673,Adipose Tissue
PPM1F,0.33236431,Adipose Tissue
NF2,-0.050618328,Adipose Tissue
RNF185,0.271232924,Adipose Tissue
MYH9,0.545834417,Adipose Tissue
SH3BP1,0.305452558,Adipose Tissue
TRIOBP,0.300516383,Adipose Tissue
CSNK1E,0.419027498,Adipose Tissue
PARVB,-0.186984914,Adipose Tissue
SH3KBP1,-0.036101379,Adipose Tissue
SMPX,0.089985425,Adipose Tissue
MSN,0.451876354,Adipose Tissue
ARHGEF6,0.274393069,Adipose Tissue
FLNA,0.401038972,Adipose Tissue
AJAP1,0.125860078,Muscle
FBLIM1,0.197088817,Muscle
CDC42,0.461052824,Muscle
ASAP3,0.023933824,Muscle
SLC9A1,0.254687015,Muscle
WASF2,0.426000949,Muscle
EPB41,0.402559706,Muscle
PTPRU,0.091158257,Muscle
FABP3,-0.362342597,Muscle
MACF1,0.457247662,Muscle
PTPRF,0.409243989,Muscle
TSPAN1,-0.013189971,Muscle
ITGB3BP,0.417131963,Muscle
NEXN,0.118650071,Muscle
SSX2IP,0.060966186,Muscle
BCAR3,0.295784427,Muscle
VAV3,0.334874918,Muscle
RAP1A,-0.070814862,Muscle
CAPZA1,0.306877625,Muscle
ITGA10,0.136587565,Muscle
HAX1,0.326276245,Muscle
SHC1,0.272355102,Muscle
ARHGEF2,0.413901172,Muscle
CSRP1,0.340299595,Muscle
PTPN14,0.100749455,Muscle
CAPN2,0.468437803,Muscle
ENAH,0.237720761,Muscle
ARF1,0.2244927,Muscle
RHOU,-0.202953248,Muscle
ACP1,0.371515821,Muscle
ASAP2,0.482353377,Muscle
ITGB1BP1,0.219153977,Muscle
SDC1,0.167183303,Muscle
SOS1,0.16246729,Muscle
SPTBN1,0.398338078,Muscle
CTNNA2,0.139737233,Muscle
FHL2,0.305208904,Muscle
NCK2,-0.101372407,Muscle
LIMS1,0.23883882,Muscle
ACTR3,0.235278291,Muscle
LIMS2,0.342763189,Muscle
PKP4,0.496742808,Muscle
ITGB6,0.066217392,Muscle
ITGA6,0.367727293,Muscle
ITGA4,0.360267502,Muscle
ITGAV,0.210906375,Muscle
CASP8,0.406625952,Muscle
ABI2,0.545712337,Muscle
NRP2,0.485686283,Muscle
TNS1,-0.149138198,Muscle
ARPC2,0.211981501,Muscle
IRS1,0.255183108,Muscle
INPP5D,0.372159268,Muscle
ILKAP,0.373223635,Muscle
ANKRD28,0.125763297,Muscle
ITGA9,0.39694399,Muscle
CTNNB1,0.470858957,Muscle
RHOA,0.3714807,Muscle
PPM1M,0.436457054,Muscle
NISCH,0.550642419,Muscle
PRKCD,0.046676772,Muscle
FLNB,0.495022817,Muscle
MAGI1,0.381870553,Muscle
CD47,0.610919571,Muscle
ITGB5,0.272480425,Muscle
HEG1,0.324185842,Muscle
PLD1,0.453159567,Muscle
ECT2,0.118293858,Muscle
PIK3CA,0.354868479,Muscle
LPP,0.443493377,Muscle
DLG1,0.147189096,Muscle
ADD1,0.110378267,Muscle
SHROOM3,0.260976023,Muscle
ARHGAP24,0.36538612,Muscle
GAB1,0.352275723,Muscle
RAPGEF2,0.431289688,Muscle
PALLD,0.084764212,Muscle
CASP3,-0.090054452,Muscle
SORBS2,0.278357793,Muscle
FAT1,0.417287576,Muscle
EXOC3,0.359660425,Muscle
CTNND2,0.286272943,Muscle
TRIO,0.465963587,Muscle
CDH18,-0.037924697,Muscle
CDH12,0.237642491,Muscle
CDH10,0.205183236,Muscle
CDH9,-0.10469759,Muscle
CDH6,0.306934003,Muscle
PDZD2,0.227785309,Muscle
ITGA1,0.372638048,Muscle
ITGA2,0.467589882,Muscle
PDE4D,0.184207424,Muscle
RASA1,0.579454828,Muscle
FER,0.596513685,Muscle
PPP2CA,0.173223529,Muscle
CTNNA1,0.405734095,Muscle
DIAPH1,0.20786584,Muscle
ARHGAP26,0.257232583,Muscle
DBN1,0.194680245,Muscle
NEDD9,0.364558701,Muscle
RNF5,-0.132114155,Muscle
DEF6,0.360613528,Muscle
CD2AP,0.481161647,Muscle
MYO6,0.527981507,Muscle
FYN,0.317767402,Muscle
MARCKS,0.354603459,Muscle
PTPRK,0.516789734,Muscle
EZR,0.208191363,Muscle
GNA12,0.226222193,Muscle
ACTB,0.425033413,Muscle
FSCN1,0.336418751,Muscle
RAC1,0.060149363,Muscle
ITGB8,0.355551953,Muscle
ELMO1,0.296510646,Muscle
EGFR,0.312362714,Muscle
LIMK1,0.16148132,Muscle
HSPB1,0.244281943,Muscle
PTPN12,0.422220664,Muscle
KRIT1,0.292718377,Muscle
TRIP6,0.472793581,Muscle
CBLL1,0.344363635,Muscle
TES,0.408227638,Muscle
CAV1,0.373834777,Muscle
MET,0.213864513,Muscle
WASL,0.328422408,Muscle
ZYX,0.350158715,Muscle
KCNH2,0.052624161,Muscle
DLC1,0.466590579,Muscle
SORBS3,0.397598538,Muscle
PTK2B,0.452805537,Muscle
ADAM9,0.225190406,Muscle
LYN,0.313710214,Muscle
SDCBP,0.43749593,Muscle
PABPC1,0.396803603,Muscle
PTK2,0.438316248,Muscle
SCRIB,0.16348669,Muscle
PLEC,0.132507104,Muscle
SHARPIN,0.368211725,Muscle
TESK1,-0.051988595,Muscle
TLN1,0.187464218,Muscle
TJP2,0.470043057,Muscle
OSTF1,0.367244168,Muscle
SYK,0.207424913,Muscle
SPTLC1,0.415321166,Muscle
CORO2A,0.407389256,Muscle
ENG,0.21419278,Muscle
ABL1,0.317739145,Muscle
RAPGEF1,0.109407776,Muscle
VAV2,0.47023214,Muscle
ITGA8,-0.017161841,Muscle
VIM,0.405003047,Muscle
ARHGAP21,0.124878048,Muscle
ABI1,0.439919307,Muscle
MPP7,0.098077144,Muscle
SVIL,0.21851403,Muscle
ARHGAP12,0.336497671,Muscle
ITGB1,0.042709163,Muscle
NRP1,0.370880126,Muscle
PARD3,0.107684615,Muscle
MAPK8,0.246568536,Muscle
ANK3,0.034066401,Muscle
CTNNA3,0.140995714,Muscle
VCL,-0.224562689,Muscle
DLG5,0.243783312,Muscle
LDB3,0.15662671,Muscle
PTEN,0.346372716,Muscle
SORBS1,0.158440938,Muscle
ADAM12,0.351551544,Muscle
DOCK1,0.492787414,Muscle
HRAS,0.281963349,Muscle
CD151,0.074545324,Muscle
ILK,0.384551554,Muscle
PARVA,0.398446629,Muscle
PLEKHA7,0.558619554,Muscle
PTPRJ,0.016936301,Muscle
CTNND1,0.679546932,Muscle
LPXN,0.478981315,Muscle
SLC3A2,0.000633204,Muscle
FERMT3,0.371006889,Muscle
CAPN1,-0.053527865,Muscle
CFL1,0.27790529,Muscle
CORO1B,0.38420406,Muscle
PPFIA1,0.367322441,Muscle
CTTN,0.284622643,Muscle
INPPL1,0.20917002,Muscle
MYO7A,0.30518426,Muscle
PAK1,0.174353906,Muscle
RDX,0.244615068,Muscle
LAYN,0.092452133,Muscle
CBL,0.501857882,Muscle
THY1,0.23666592,Muscle
ARHGEF12,0.363671032,Muscle
ARHGAP32,0.528180664,Muscle
PTPN6,0.312179155,Muscle
PTPRO,0.275536484,Muscle
TUBA1B,0.193849251,Muscle
RACGAP1,-0.09101957,Muscle
LIMA1,0.480586794,Muscle
ITGB7,0.193469687,Muscle
ITGA5,0.246691709,Muscle
ITGA7,0.040733676,Muscle
LRP1,0.470192782,Muscle
AGAP2,0.171356828,Muscle
LIN7A,0.390753308,Muscle
VEZT,0.237302205,Muscle
SSH1,0.165823598,Muscle
TRPV4,0.221912306,Muscle
GIT2,0.407342411,Muscle
PTPN11,0.060482842,Muscle
PXN,0.331629594,Muscle
CLIP1,0.154660618,Muscle
STARD13,0.362320182,Muscle
TRPC4,0.248216845,Muscle
LMO7,0.316849124,Muscle
ARHGEF7,0.503877877,Muscle
MMP14,0.278388732,Muscle
CDH24,0.364092972,Muscle
PRKD1,0.350675848,Muscle
ARHGAP5,0.199669488,Muscle
ARF6,-0.027856166,Muscle
FERMT2,0.198653142,Muscle
KTN1,-0.014645981,Muscle
AKAP5,0.366984202,Muscle
HSPA2,-0.197765364,Muscle
ACTN1,0.406180345,Muscle
PSEN1,0.291991331,Muscle
NUMB,0.54265474,Muscle
DYNC1H1,0.325301955,Muscle
ZFYVE21,0.454092558,Muscle
AKT1,0.235653241,Muscle
TJP1,0.417283641,Muscle
TRPM7,0.606741273,Muscle
CGNL1,0.299620453,Muscle
ADAM10,0.374955122,Muscle
ITGA11,0.324497368,Muscle
CSK,0.058694983,Muscle
PEAK1,0.456718598,Muscle
CIB2,-0.063453437,Muscle
CIB1,0.008194055,Muscle
IQGAP1,0.346832271,Muscle
SYNM,0.189968038,Muscle
MAPK8IP3,0.618945322,Muscle
PKD1,0.475189098,Muscle
PDPK1,0.36446309,Muscle
NUDT16L1,0.098357997,Muscle
SH2B1,0.284206362,Muscle
ITGAL,0.344089978,Muscle
ITGAM,0.321118102,Muscle
ITGAX,0.252544641,Muscle
ITGAD,0.184353381,Muscle
TGFB1I1,0.348562495,Muscle
CDH8,0.296999158,Muscle
CDH11,0.391435859,Muscle
CDH5,0.418460692,Muscle
CDH3,0.261767782,Muscle
CDH1,0.170490829,Muscle
BCAR1,-0.031200696,Muscle
CDH15,0.510751961,Muscle
CRK,-0.053520259,Muscle
ITGAE,-0.016188687,Muscle
PFN1,0.116354758,Muscle
NDEL1,0.340397135,Muscle
MYH10,0.363968545,Muscle
GIT1,0.185132378,Muscle
SRCIN1,0.317891316,Muscle
LASP1,0.25577423,Muscle
GRB7,0.278707588,Muscle
WIPF2,0.212497571,Muscle
JUP,0.103400136,Muscle
STAT3,0.188240654,Muscle
ITGB3,0.406734769,Muscle
ABI3,0.354436675,Muscle
ITGA3,0.278163379,Muscle
NME1,0.23147305,Muscle
PRKCA,0.045422333,Muscle
GRB2,0.289514599,Muscle
ITGB4,0.448197813,Muscle
SLC16A3,-0.194591555,Muscle
MYOM1,0.13137999,Muscle
PTPRM,0.437805067,Muscle
PTPN2,0.317374828,Muscle
ROCK1,0.557124351,Muscle
CDH2,0.117832786,Muscle
CDH20,-0.004844274,Muscle
CDH7,0.201548829,Muscle
CDH19,0.225562609,Muscle
PIP5K1C,0.166074181,Muscle
VAV1,0.203400249,Muscle
INSR,0.214955754,Muscle
RAVER1,0.402762527,Muscle
KEAP1,-0.104227875,Muscle
DNM2,0.209078461,Muscle
CALR,0.320587629,Muscle
PRKACA,0.090017407,Muscle
SIPA1L3,0.30200601,Muscle
ACTN4,0.511531114,Muscle
CEACAM1,0.270961556,Muscle
PLAUR,0.312164682,Muscle
PVR,0.338345932,Muscle
VASP,0.26431809,Muscle
ARHGAP35,-0.090034129,Muscle
CYTH2,0.140731505,Muscle
PTPRH,0.258078684,Muscle
CSNK2A1,0.361492408,Muscle
SIRPA,0.129744739,Muscle
PTPRA,0.517571303,Muscle
PRNP,0.310175766,Muscle
FERMT1,0.226166451,Muscle
SRC,0.310424151,Muscle
PLCG1,0.499411653,Muscle
PTPRT,0.263697812,Muscle
SDC4,0.033860476,Muscle
CDH22,-0.051190442,Muscle
PTPN1,0.095488965,Muscle
CASS4,0.222073164,Muscle
CDH4,0.213471068,Muscle
TIAM1,0.443987749,Muscle
ITGB2,0.185218487,Muscle
ARVCF,0.384462928,Muscle
CRKL,0.194585358,Muscle
MAPK1,0.269963771,Muscle
PPM1F,0.38210093,Muscle
NF2,0.025788322,Muscle
RNF185,0.297321186,Muscle
MYH9,0.580713813,Muscle
SH3BP1,0.339313981,Muscle
TRIOBP,0.362937725,Muscle
CSNK1E,0.495898366,Muscle
PARVB,-0.07462004,Muscle
SH3KBP1,0.222648571,Muscle
SMPX,0.146965428,Muscle
MSN,0.483028136,Muscle
ARHGEF6,0.252650083,Muscle
FLNA,0.427498391,Muscle
AJAP1,0.090114565,Blood Vessel
FBLIM1,0.106569177,Blood Vessel
CDC42,0.146590819,Blood Vessel
ASAP3,0.147568113,Blood Vessel
SLC9A1,0.229178765,Blood Vessel
WASF2,0.185898843,Blood Vessel
EPB41,0.377573763,Blood Vessel
PTPRU,0.335762897,Blood Vessel
FABP3,0.027245614,Blood Vessel
MACF1,0.411081458,Blood Vessel
PTPRF,0.270441252,Blood Vessel
TSPAN1,-0.1513922,Blood Vessel
ITGB3BP,0.131248565,Blood Vessel
NEXN,-0.057152641,Blood Vessel
SSX2IP,0.161947516,Blood Vessel
BCAR3,0.045362233,Blood Vessel
VAV3,-0.102428605,Blood Vessel
RAP1A,0.080359738,Blood Vessel
CAPZA1,0.059195228,Blood Vessel
ITGA10,0.097566279,Blood Vessel
HAX1,-0.17414408,Blood Vessel
SHC1,0.119661707,Blood Vessel
ARHGEF2,0.28823077,Blood Vessel
CSRP1,0.079243286,Blood Vessel
PTPN14,0.219186735,Blood Vessel
CAPN2,0.209269001,Blood Vessel
ENAH,0.163591079,Blood Vessel
ARF1,-0.070993154,Blood Vessel
RHOU,0.031519051,Blood Vessel
ACP1,0.043630862,Blood Vessel
ASAP2,0.406329665,Blood Vessel
ITGB1BP1,-0.182077027,Blood Vessel
SDC1,-0.021824248,Blood Vessel
SOS1,0.352115924,Blood Vessel
SPTBN1,0.284134079,Blood Vessel
CTNNA2,0.101496454,Blood Vessel
FHL2,-0.059963641,Blood Vessel
NCK2,-0.020546164,Blood Vessel
LIMS1,0.31061099,Blood Vessel
ACTR3,-0.060922388,Blood Vessel
LIMS2,0.033652503,Blood Vessel
PKP4,0.084816421,Blood Vessel
ITGB6,0.032471362,Blood Vessel
ITGA6,0.015512198,Blood Vessel
ITGA4,0.151691547,Blood Vessel
ITGAV,0.139242577,Blood Vessel
CASP8,0.107304145,Blood Vessel
ABI2,0.619638994,Blood Vessel
NRP2,0.057181862,Blood Vessel
TNS1,0.224350078,Blood Vessel
ARPC2,-0.13522666,Blood Vessel
IRS1,0.220666818,Blood Vessel
INPP5D,0.120991268,Blood Vessel
ILKAP,0.218328803,Blood Vessel
ANKRD28,0.150210463,Blood Vessel
ITGA9,0.114679657,Blood Vessel
CTNNB1,0.118463063,Blood Vessel
RHOA,-0.239482348,Blood Vessel
PPM1M,0.12521247,Blood Vessel
NISCH,0.606195976,Blood Vessel
PRKCD,-0.045368479,Blood Vessel
FLNB,0.351975848,Blood Vessel
MAGI1,0.466274937,Blood Vessel
CD47,0.583644914,Blood Vessel
ITGB5,0.092787638,Blood Vessel
HEG1,-0.04418559,Blood Vessel
PLD1,0.363284931,Blood Vessel
ECT2,-0.13585526,Blood Vessel
PIK3CA,0.112977171,Blood Vessel
LPP,0.213194282,Blood Vessel
DLG1,0.192258907,Blood Vessel
