adhesome_gene,corr,tissue
VEZT,0.283264973,Eye
ADAM9,-0.023009308,Eye
PRKD1,0.268336126,Eye
LAYN,0.108465076,Eye
HEG1,-0.308883985,Eye
FHL2,0.264552854,Eye
FLNA,-0.11148525,Eye
CTNNA1,0.291673214,Eye
CTNNA2,0.056399226,Eye
CTNNA3,0.078636103,Eye
SYNM,0.108791316,Eye
GAB1,0.246403826,Eye
ASAP2,0.369347078,Eye
ASAP3,-0.122761274,Eye
ARHGAP21,0.21873187,Eye
ARHGAP26,-0.020003092,Eye
ARHGAP24,-0.015094446,Eye
PKD1,0.014510899,Eye
PRKACA,-0.123555368,Eye
GNA12,-0.00668948,Eye
RAP1A,0.100063205,Eye
INSR,0.134421965,Eye
SPTBN1,-0.193837723,Eye
ACTN1,-0.139514601,Eye
TRIP6,-0.170051588,Eye
CAV1,0.416157827,Eye
SVIL,-0.043459571,Eye
MET,0.124031916,Eye
CASS4,-0.068058053,Eye
CDH8,0.108497766,Eye
HSPB1,0.162696035,Eye
AJAP1,0.141376882,Eye
PRNP,0.032297034,Eye
PEAK1,0.031369324,Eye
LPXN,-0.203273686,Eye
LIMS2,0.081171328,Eye
LIMS1,0.300716281,Eye
ARHGEF2,-0.040315445,Eye
CDH2,-0.040637871,Eye
ACTB,-0.06387065,Eye
STARD13,0.167119052,Eye
JUP,0.132456976,Eye
CTNND2,-0.233817522,Eye
CTNND1,0.220013961,Eye
TESK1,0.003364814,Eye
TRPM7,0.253763528,Eye
LIMK1,-0.068060565,Eye
FER,0.342810622,Eye
MAPK8IP3,0.21221612,Eye
DLG1,0.118718313,Eye
SPTLC1,0.112014327,Eye
KCNH2,0.129748259,Eye
CIB2,-0.236918503,Eye
CIB1,-0.18634162,Eye
PTPN2,0.168441491,Eye
PTPN1,-0.282883346,Eye
PTPN6,-0.126881979,Eye
OSTF1,0.093530293,Eye
DLG5,-0.029942782,Eye
INPP5D,-0.115016534,Eye
PXN,0.086402295,Eye
THY1,0.035185247,Eye
MMP14,-0.180608632,Eye
HRAS,-0.107917451,Eye
FLNB,0.149297455,Eye
CDH22,-0.018627922,Eye
LPP,0.248666615,Eye
PSEN1,0.062135267,Eye
NUMB,0.227160147,Eye
HAX1,-0.09324743,Eye
GIT1,0.254744582,Eye
GIT2,0.124351384,Eye
DEF6,0.141047282,Eye
RHOU,0.027541992,Eye
RHOA,-0.055246402,Eye
CTTN,0.015450998,Eye
ENG,-0.090639613,Eye
TLN1,-0.206592409,Eye
SDC1,0.043318076,Eye
SDC4,-0.0180066,Eye
EXOC3,-0.030173747,Eye
ANK3,0.184616524,Eye
SSH1,-0.121556394,Eye
RAVER1,-0.200337821,Eye
CBL,-0.05337343,Eye
NCK2,0.221799838,Eye
MPP7,0.166915875,Eye
CORO2A,-0.040568564,Eye
CSNK2A1,0.101446999,Eye
ITGB1BP1,0.428853956,Eye
RAC1,0.132117971,Eye
VCL,-0.059396055,Eye
ILKAP,0.185155619,Eye
DBN1,0.008427789,Eye
ZFYVE21,0.339866783,Eye
PTK2,0.137646216,Eye
ITGB3BP,0.152579931,Eye
FBLIM1,-0.269569714,Eye
RNF5,0.006313868,Eye
ACTR3,0.145616079,Eye
NUDT16L1,-0.338956661,Eye
NISCH,0.119780233,Eye
CRK,0.170295643,Eye
CSNK1E,0.234546162,Eye
SRC,-0.190344173,Eye
TNS1,-0.004566299,Eye
TJP2,0.110769106,Eye
TJP1,0.105184943,Eye
SLC3A2,-0.119867277,Eye
FSCN1,-0.148909094,Eye
CD151,-0.171838311,Eye
IRS1,0.314557503,Eye
TRPV4,-0.176882213,Eye
SDCBP,0.031399538,Eye
ARHGEF12,0.177747507,Eye
MYOM1,0.005038777,Eye
CORO1B,-0.194800374,Eye
WASF2,-0.207318877,Eye
CTNNB1,0.208954452,Eye
FABP3,-0.187134543,Eye
MACF1,-0.051352634,Eye
MSN,-0.081497426,Eye
CDC42,-0.023134605,Eye
TRIO,0.126922802,Eye
SLC16A3,0.000777705,Eye
ARHGAP32,0.18915629,Eye
ARHGAP35,0.042010437,Eye
TES,0.013540212,Eye
MARCKS,0.28132551,Eye
LMO7,0.283917521,Eye
NME1,-0.196616363,Eye
EPB41,-0.125091483,Eye
TIAM1,-0.002716915,Eye
PDZD2,-0.005153809,Eye
NF2,-0.033445741,Eye
LASP1,0.095609793,Eye
TRPC4,0.401567477,Eye
DYNC1H1,0.123552367,Eye
LIMA1,0.138914534,Eye
CASP3,0.173099159,Eye
CASP8,0.147404819,Eye
AKT1,-0.168650697,Eye
PKP4,-0.014677922,Eye
ELMO1,-0.221966924,Eye
SMPX,-0.365023122,Eye
ANKRD28,0.178737382,Eye
PLCG1,0.147454736,Eye
INPPL1,-0.206277269,Eye
EGFR,-0.031085595,Eye
ARHGEF6,0.080201247,Eye
ARHGEF7,0.13913222,Eye
CDH9,-1,Eye
CDH1,0.114052109,Eye
CDH3,0.094738809,Eye
CDH5,-0.069842443,Eye
CDH4,0.176083292,Eye
CDH7,0.069418203,Eye
CDH6,0.0186037,Eye
RACGAP1,0.083717972,Eye
KEAP1,-0.326532026,Eye
NEXN,0.171010529,Eye
ENAH,0.179527296,Eye
ECT2,0.215265766,Eye
PLEC,0.01620588,Eye
MYO7A,-0.20219104,Eye
CSRP1,0.252523687,Eye
BCAR1,0.161885703,Eye
BCAR3,0.265915599,Eye
DNM2,-0.098353469,Eye
CFL1,-0.163109442,Eye
PLAUR,-0.043866254,Eye
AKAP5,0.074748353,Eye
SHC1,-0.27704101,Eye
PTEN,0.316808727,Eye
KTN1,0.237586833,Eye
PTPRU,-0.345158887,Eye
PTPRT,-0.1199231,Eye
PTPRF,-0.271841097,Eye
PTPRA,0.084159793,Eye
PTPRO,0.041215538,Eye
PTPRM,0.144831047,Eye
PTPRK,-0.11226922,Eye
PTPRJ,0.066537451,Eye
PTPRH,0.044481238,Eye
VIM,0.010461789,Eye
RDX,0.11446889,Eye
WASL,0.146866776,Eye
PIK3CA,0.209520676,Eye
ARF1,0.046734616,Eye
ARF6,0.089308549,Eye
CLIP1,-0.030101457,Eye
CD47,0.208807529,Eye
PAK1,-0.294307647,Eye
FYN,0.158979267,Eye
ARHGAP5,0.161936411,Eye
GRB2,0.047495836,Eye
GRB7,-0.219955452,Eye
ACP1,-0.008560446,Eye
PRKCA,0.087075517,Eye
PRKCD,-0.01531184,Eye
SYK,0.10644689,Eye
ILK,-0.036315004,Eye
PLEKHA7,0.039066713,Eye
MYH10,-0.010092321,Eye
CGNL1,-0.237860414,Eye
SLC9A1,-0.342840507,Eye
MYO6,0.07448651,Eye
PABPC1,-0.058229188,Eye
DLC1,0.380065867,Eye
SH2B1,-0.10611602,Eye
WIPF2,-0.186148762,Eye
PPM1F,0.239301651,Eye
PPM1M,0.009147483,Eye
ZYX,-0.144499911,Eye
PPP2CA,0.047113709,Eye
ARPC2,0.046818092,Eye
ARHGAP12,0.256348019,Eye
PALLD,0.120884898,Eye
PDPK1,-0.038510061,Eye
PTK2B,0.13087459,Eye
IQGAP1,-0.052985705,Eye
RNF185,-0.111025699,Eye
PARVA,-0.119588169,Eye
TRIOBP,-0.020891992,Eye
CSK,-0.164980466,Eye
SH3BP1,-0.084864065,Eye
MAGI1,-0.033599762,Eye
TSPAN1,-0.163353394,Eye
HSPA2,0.017520984,Eye
SHROOM3,-0.077560337,Eye
VASP,-0.157942369,Eye
CEACAM1,-0.056264229,Eye
ADD1,0.040777528,Eye
LDB3,0.100755453,Eye
MYH9,0.019713228,Eye
PIP5K1C,-0.211409618,Eye
CAPN2,0.332902438,Eye
CAPN1,-0.064723571,Eye
PARVB,-0.130177768,Eye
ARVCF,0.123639264,Eye
STAT3,-0.118695493,Eye
PDE4D,0.37027336,Eye
CD2AP,0.202511253,Eye
ITGA8,0.289797976,Endometrium
ITGA9,0.242484251,Endometrium
ITGA1,0.185354826,Endometrium
ITGA2,0.082806915,Endometrium
ITGA3,-0.110674956,Endometrium
ITGA4,0.277791569,Endometrium
ITGA5,-0.137673713,Endometrium
ITGA6,0.152894425,Endometrium
ITGA7,0.152343265,Endometrium
ITGAX,0.330499575,Endometrium
ITGAV,0.157170212,Endometrium
ITGAL,0.254397346,Endometrium
ITGAM,0.221400708,Endometrium
ITGAD,0.121469204,Endometrium
ITGAE,-0.055120348,Endometrium
PTPN12,0.232472923,Endometrium
PTPN11,0.188081638,Endometrium
PTPN14,0.09409034,Endometrium
SH3KBP1,-0.019670834,Endometrium
SORBS1,0.250623005,Endometrium
SORBS3,-0.020012214,Endometrium
SORBS2,0.401211877,Endometrium
ADAM10,0.225838083,Endometrium
ADAM12,0.198382417,Endometrium
NDEL1,0.074674732,Endometrium
ABI2,0.199399597,Endometrium
ABI3,0.018627323,Endometrium
ABI1,0.210553108,Endometrium
SRCIN1,0.099110744,Endometrium
RASA1,0.18143023,Endometrium
ACTN4,-0.171284248,Endometrium
EZR,-0.131158677,Endometrium
SIPA1L3,0.063917569,Endometrium
PPFIA1,0.199980469,Endometrium
RAPGEF1,0.089295944,Endometrium
RAPGEF2,0.293293032,Endometrium
TUBA1B,-0.243229865,Endometrium
CALR,-0.216489974,Endometrium
PFN1,-0.406789149,Endometrium
SSX2IP,0.129894174,Endometrium
CYTH2,0.205660563,Endometrium
CDH20,0.082118353,Endometrium
CDH24,-0.046431629,Endometrium
FAT1,0.272808753,Endometrium
SOS1,0.282493822,Endometrium
CBLL1,0.21823035,Endometrium
KRIT1,0.292975332,Endometrium
SCRIB,-0.132160561,Endometrium
LYN,0.138750224,Endometrium
VAV1,-0.036482788,Endometrium
VAV3,0.119691356,Endometrium
VAV2,0.10808857,Endometrium
FERMT2,0.02392466,Endometrium
FERMT3,0.082376971,Endometrium
FERMT1,0.090887654,Endometrium
CRKL,0.063080878,Endometrium
NRP1,0.327386681,Endometrium
NRP2,0.08291149,Endometrium
AGAP2,0.11551726,Endometrium
ROCK1,0.175551127,Endometrium
PLD1,0.043784274,Endometrium
DOCK1,0.33509781,Endometrium
ITGB1,0.180180547,Endometrium
ITGB3,0.060329966,Endometrium
ITGB2,0.090462594,Endometrium
ITGB5,-0.042886937,Endometrium
ITGB4,-0.02898542,Endometrium
ITGB7,0.015516913,Endometrium
ITGB6,0.071248986,Endometrium
ITGB8,0.180143973,Endometrium
ITGA10,0.474113209,Endometrium
ITGA11,0.064388824,Endometrium
LRP1,0.188017969,Endometrium
SIRPA,0.081254737,Endometrium
TGFB1I1,-0.059649005,Endometrium
SHARPIN,-0.182508289,Endometrium
CAPZA1,0.159448373,Endometrium
LIN7A,0.16569226,Endometrium
PVR,-0.181322371,Endometrium
MAPK1,0.146626765,Endometrium
MAPK8,0.311334615,Endometrium
NEDD9,0.135711802,Endometrium
DIAPH1,-0.005034848,Endometrium
PARD3,-0.10323676,Endometrium
CDH11,0.373371155,Endometrium
CDH10,0.033019696,Endometrium
CDH12,0.010110395,Endometrium
CDH15,-0.090036896,Endometrium
CDH19,-0.196870667,Endometrium
CDH18,0.052842772,Endometrium
ABL1,0.193806253,Endometrium
VEZT,0.310184007,Endometrium
ADAM9,0.075026533,Endometrium
PRKD1,0.215406566,Endometrium
LAYN,0.125995258,Endometrium
HEG1,0.298299246,Endometrium
FHL2,0.049358488,Endometrium
FLNA,-0.083883808,Endometrium
CTNNA1,0.077666291,Endometrium
CTNNA2,0.295352991,Endometrium
CTNNA3,0.123327086,Endometrium
SYNM,0.002753939,Endometrium
GAB1,0.227780506,Endometrium
ASAP2,0.092029476,Endometrium
ASAP3,0.170997164,Endometrium
ARHGAP21,0.281444237,Endometrium
ARHGAP26,0.260268418,Endometrium
ARHGAP24,0.18867183,Endometrium
PKD1,0.171743929,Endometrium
PRKACA,-0.004926505,Endometrium
GNA12,0.030897205,Endometrium
RAP1A,0.245873283,Endometrium
INSR,0.270998087,Endometrium
SPTBN1,0.189846354,Endometrium
ACTN1,0.031797757,Endometrium
TRIP6,-0.176310757,Endometrium
CAV1,0.137977637,Endometrium
SVIL,0.10481498,Endometrium
MET,0.086219469,Endometrium
CASS4,0.245607703,Endometrium
CDH8,-0.042587667,Endometrium
HSPB1,-0.081794415,Endometrium
AJAP1,0.0972548,Endometrium
PRNP,0.193942379,Endometrium
PEAK1,0.372322363,Endometrium
LPXN,0.260054841,Endometrium
LIMS2,0.026824246,Endometrium
LIMS1,0.421596651,Endometrium
ARHGEF2,-0.021846076,Endometrium
CDH2,0.119149269,Endometrium
ACTB,-0.368018986,Endometrium
STARD13,0.391191728,Endometrium
JUP,-0.334557557,Endometrium
CTNND2,0.113239149,Endometrium
CTNND1,0.241743776,Endometrium
TESK1,-0.075266087,Endometrium
TRPM7,0.388924481,Endometrium
LIMK1,-0.062035569,Endometrium
FER,0.253191618,Endometrium
MAPK8IP3,0.452356898,Endometrium
DLG1,0.171784898,Endometrium
SPTLC1,0.186204534,Endometrium
KCNH2,0.062616414,Endometrium
CIB2,-0.179131161,Endometrium
CIB1,-0.083286439,Endometrium
PTPN2,0.123710657,Endometrium
PTPN1,0.079427831,Endometrium
PTPN6,-0.148512147,Endometrium
OSTF1,0.043584402,Endometrium
DLG5,0.201935326,Endometrium
INPP5D,0.153628947,Endometrium
PXN,-0.013914863,Endometrium
THY1,-0.085850196,Endometrium
MMP14,0.106769755,Endometrium
HRAS,-0.260335788,Endometrium
FLNB,0.050496424,Endometrium
CDH22,-0.02637559,Endometrium
LPP,0.223314633,Endometrium
PSEN1,0.139534029,Endometrium
NUMB,0.477487486,Endometrium
HAX1,-0.191315862,Endometrium
GIT1,-0.206140619,Endometrium
GIT2,0.265679303,Endometrium
DEF6,-0.078452438,Endometrium
RHOU,0.302403498,Endometrium
RHOA,-0.123298303,Endometrium
CTTN,0.147410746,Endometrium
ENG,0.053417108,Endometrium
TLN1,0.087526209,Endometrium
SDC1,-0.120850248,Endometrium
SDC4,-0.203206071,Endometrium
EXOC3,-0.040817699,Endometrium
ANK3,0.33906033,Endometrium
SSH1,0.170521959,Endometrium
RAVER1,0.02285715,Endometrium
CBL,0.149562034,Endometrium
NCK2,0.0495398,Endometrium
MPP7,0.149465678,Endometrium
CORO2A,0.059330952,Endometrium
CSNK2A1,0.021021565,Endometrium
ITGB1BP1,-0.122065485,Endometrium
RAC1,-0.105922994,Endometrium
VCL,0.049885433,Endometrium
ILKAP,-0.147237359,Endometrium
DBN1,-0.174776471,Endometrium
ZFYVE21,0.252793587,Endometrium
PTK2,0.205717244,Endometrium
ITGB3BP,0.141452609,Endometrium
FBLIM1,0.050497787,Endometrium
RNF5,-0.154262317,Endometrium
ACTR3,-0.042393549,Endometrium
NUDT16L1,-0.179797463,Endometrium
NISCH,0.350927183,Endometrium
CRK,-0.094951798,Endometrium
CSNK1E,0.1171347,Endometrium
SRC,0.014515746,Endometrium
TNS1,0.282017127,Endometrium
TJP2,0.032207904,Endometrium
TJP1,0.293793786,Endometrium
SLC3A2,-0.112879376,Endometrium
FSCN1,0.045294846,Endometrium
CD151,-0.127703159,Endometrium
IRS1,0.338872459,Endometrium
TRPV4,-0.131056396,Endometrium
SDCBP,0.349050392,Endometrium
ARHGEF12,0.271195046,Endometrium
MYOM1,0.176056868,Endometrium
CORO1B,-0.022571701,Endometrium
WASF2,0.058326292,Endometrium
CTNNB1,0.13071429,Endometrium
FABP3,0.045008954,Endometrium
MACF1,0.165936556,Endometrium
MSN,0.118510951,Endometrium
CDC42,0.11846994,Endometrium
TRIO,0.250998074,Endometrium
SLC16A3,-0.133526028,Endometrium
ARHGAP32,0.264192694,Endometrium
ARHGAP35,-0.017559695,Endometrium
TES,0.137277804,Endometrium
MARCKS,0.156045857,Endometrium
LMO7,0.114714321,Endometrium
NME1,-0.361345247,Endometrium
EPB41,0.239429289,Endometrium
TIAM1,0.133220572,Endometrium
PDZD2,0.133183746,Endometrium
NF2,-0.137374349,Endometrium
LASP1,-0.02946625,Endometrium
TRPC4,0.222930241,Endometrium
DYNC1H1,-0.022661855,Endometrium
LIMA1,0.238889316,Endometrium
CASP3,0.127292986,Endometrium
CASP8,0.248183979,Endometrium
AKT1,0.113276539,Endometrium
PKP4,0.263160111,Endometrium
ELMO1,0.352728289,Endometrium
SMPX,-0.042364982,Endometrium
ANKRD28,0.211099056,Endometrium
PLCG1,0.281785358,Endometrium
INPPL1,0.21199469,Endometrium
EGFR,0.255000477,Endometrium
ARHGEF6,0.356110952,Endometrium
ARHGEF7,0.271428631,Endometrium
CDH9,0.036068269,Endometrium
CDH1,0.172934005,Endometrium
CDH3,0.027977471,Endometrium
CDH5,0.244532163,Endometrium
CDH4,0.345233594,Endometrium
CDH7,-0.1881562,Endometrium
CDH6,0.061855417,Endometrium
RACGAP1,-0.166664067,Endometrium
KEAP1,-0.286211678,Endometrium
NEXN,0.105210891,Endometrium
ENAH,0.086537392,Endometrium
ECT2,-0.031127824,Endometrium
PLEC,0.016700951,Endometrium
MYO7A,0.153694669,Endometrium
CSRP1,-0.167807622,Endometrium
BCAR1,-0.009714277,Endometrium
BCAR3,0.059316111,Endometrium
DNM2,0.088184217,Endometrium
CFL1,-0.365879826,Endometrium
PLAUR,-0.131985453,Endometrium
AKAP5,0.145740247,Endometrium
SHC1,0.021319713,Endometrium
PTEN,0.277943263,Endometrium
KTN1,0.115136979,Endometrium
PTPRU,0.175375138,Endometrium
PTPRT,-0.005474746,Endometrium
PTPRF,0.122135837,Endometrium
PTPRA,0.076985609,Endometrium
PTPRO,0.277268421,Endometrium
PTPRM,0.364767769,Endometrium
PTPRK,0.064302016,Endometrium
PTPRJ,-0.015012544,Endometrium
PTPRH,-0.000206425,Endometrium
VIM,0.202700954,Endometrium
RDX,0.150653673,Endometrium
WASL,0.216764693,Endometrium
PIK3CA,0.122019681,Endometrium
ARF1,-0.070313903,Endometrium
ARF6,0.021901782,Endometrium
CLIP1,0.284919333,Endometrium
CD47,0.040658506,Endometrium
PAK1,0.216447331,Endometrium
FYN,0.119677654,Endometrium
ARHGAP5,0.240210345,Endometrium
GRB2,-0.163287927,Endometrium
GRB7,-0.135046812,Endometrium
ACP1,0.064838239,Endometrium
PRKCA,0.12214659,Endometrium
PRKCD,0.216326963,Endometrium
SYK,0.138832681,Endometrium
ILK,-0.126554972,Endometrium
PLEKHA7,0.274757738,Endometrium
MYH10,0.078165418,Endometrium
CGNL1,0.343373547,Endometrium
SLC9A1,-0.122049249,Endometrium
MYO6,0.281215117,Endometrium
PABPC1,0.179490007,Endometrium
DLC1,0.263882317,Endometrium
SH2B1,0.258634754,Endometrium
WIPF2,0.142914579,Endometrium
PPM1F,0.014963294,Endometrium
PPM1M,0.042288864,Endometrium
ZYX,-0.14811008,Endometrium
PPP2CA,0.162904374,Endometrium
ARPC2,-0.196678424,Endometrium
ARHGAP12,0.400235533,Endometrium
PALLD,0.234029484,Endometrium
PDPK1,0.277289206,Endometrium
PTK2B,0.078394261,Endometrium
IQGAP1,0.147629319,Endometrium
RNF185,0.043183149,Endometrium
PARVA,0.157285397,Endometrium
TRIOBP,0.002455124,Endometrium
CSK,-0.305291889,Endometrium
SH3BP1,-0.189333644,Endometrium
MAGI1,0.384865816,Endometrium
TSPAN1,0.067193124,Endometrium
HSPA2,0.051716186,Endometrium
SHROOM3,0.146945839,Endometrium
VASP,-0.252828841,Endometrium
CEACAM1,0.177760543,Endometrium
ADD1,0.173686078,Endometrium
LDB3,0.185417158,Endometrium
MYH9,-0.038808393,Endometrium
PIP5K1C,-0.079581852,Endometrium
CAPN2,-0.010595766,Endometrium
CAPN1,-0.112280186,Endometrium
PARVB,-0.213346609,Endometrium
ARVCF,0.123515148,Endometrium
STAT3,0.064151964,Endometrium
PDE4D,0.1000106,Endometrium
CD2AP,0.098548915,Endometrium
ITGA8,-0.099565113,Uterus
ITGA9,-0.167276211,Uterus
ITGA1,0.036046069,Uterus
ITGA2,0.248069637,Uterus
ITGA3,0.113517954,Uterus
ITGA4,0.018479292,Uterus
ITGA5,-0.213134079,Uterus
ITGA6,0.231120512,Uterus
ITGA7,0.013980637,Uterus
ITGAX,0.240638778,Uterus
ITGAV,0.078148585,Uterus
ITGAL,0.074064144,Uterus
ITGAM,0.041071508,Uterus
ITGAD,-0.056210791,Uterus
ITGAE,-0.144632845,Uterus
PTPN12,0.195095591,Uterus
PTPN11,0.01427046,Uterus
PTPN14,-5.64E-05,Uterus
SH3KBP1,-0.218660499,Uterus
SORBS1,0.166706919,Uterus
SORBS3,-0.166081839,Uterus
SORBS2,0.279476321,Uterus
ADAM10,0.36859023,Uterus
ADAM12,-0.201962159,Uterus
NDEL1,0.094498443,Uterus
ABI2,0.302925222,Uterus
ABI3,0.055479538,Uterus
ABI1,0.139830697,Uterus
SRCIN1,0.251872646,Uterus
RASA1,0.180755167,Uterus
ACTN4,0.249921262,Uterus
EZR,0.272798188,Uterus
SIPA1L3,0.304358275,Uterus
PPFIA1,0.136622768,Uterus
RAPGEF1,0.017156884,Uterus
RAPGEF2,0.177147604,Uterus
TUBA1B,-0.128603645,Uterus
CALR,-0.167369305,Uterus
PFN1,-0.142135519,Uterus
SSX2IP,0.233665921,Uterus
CYTH2,0.004946205,Uterus
CDH20,0.071684271,Uterus
CDH24,0.119661781,Uterus
FAT1,0.021649457,Uterus
SOS1,0.12198173,Uterus
CBLL1,0.080691501,Uterus
KRIT1,0.194235146,Uterus
SCRIB,-0.099977014,Uterus
LYN,0.067195712,Uterus
VAV1,0.111681315,Uterus
VAV3,0.184048481,Uterus
VAV2,0.111968633,Uterus
FERMT2,-0.090393593,Uterus
FERMT3,0.087130364,Uterus
FERMT1,0.022857449,Uterus
CRKL,-0.164267995,Uterus
NRP1,-0.09929457,Uterus
NRP2,-0.014661383,Uterus
AGAP2,-0.061483051,Uterus
ROCK1,0.148054907,Uterus
PLD1,-0.186800683,Uterus
DOCK1,0.061885762,Uterus
ITGB1,0.147023088,Uterus
ITGB3,0.106027821,Uterus
ITGB2,0.083281019,Uterus
ITGB5,-0.008378622,Uterus
ITGB4,0.195599742,Uterus
ITGB7,0.166312233,Uterus
ITGB6,0.254090158,Uterus
ITGB8,0.27541265,Uterus
ITGA10,-0.032935631,Uterus
ITGA11,0.170671424,Uterus
LRP1,-0.106760001,Uterus
SIRPA,0.096823712,Uterus
TGFB1I1,-0.141919316,Uterus
SHARPIN,-0.150172794,Uterus
CAPZA1,0.152293615,Uterus
LIN7A,0.016675614,Uterus
PVR,-0.049570981,Uterus
MAPK1,0.067092341,Uterus
MAPK8,0.064707062,Uterus
NEDD9,0.014170523,Uterus
DIAPH1,0.104973382,Uterus
PARD3,-0.188260475,Uterus
CDH11,-0.075603487,Uterus
CDH10,0.015013949,Uterus
CDH12,0.163838984,Uterus
CDH15,-0.096077575,Uterus
CDH19,-0.138632995,Uterus
CDH18,-0.068338118,Uterus
ABL1,-0.00096712,Uterus
VEZT,0.064299677,Uterus
ADAM9,0.051546602,Uterus
PRKD1,0.133023081,Uterus
LAYN,-0.169495976,Uterus
HEG1,0.143617302,Uterus
FHL2,0.207120772,Uterus
FLNA,0.019297275,Uterus
CTNNA1,0.125348072,Uterus
CTNNA2,0.020630252,Uterus
CTNNA3,0.217983354,Uterus
SYNM,0.021752089,Uterus
GAB1,0.136154343,Uterus
ASAP2,0.359297997,Uterus
ASAP3,-0.222287546,Uterus
ARHGAP21,0.081158964,Uterus
ARHGAP26,0.158223162,Uterus
ARHGAP24,-0.129170031,Uterus
PKD1,-0.035287383,Uterus
PRKACA,-0.209125649,Uterus
GNA12,-0.02903366,Uterus
RAP1A,0.1359777,Uterus
INSR,-0.12834793,Uterus
SPTBN1,0.198200167,Uterus
ACTN1,0.049702739,Uterus
TRIP6,-0.066048934,Uterus
CAV1,-0.054649804,Uterus
SVIL,-0.157891279,Uterus
MET,-0.029064449,Uterus
CASS4,0.19340513,Uterus
CDH8,-0.050586898,Uterus
HSPB1,-0.14021856,Uterus
AJAP1,0.015557216,Uterus
PRNP,0.055367297,Uterus
PEAK1,0.278361061,Uterus
LPXN,0.157112505,Uterus
LIMS2,0.20696547,Uterus
LIMS1,0.172019399,Uterus
ARHGEF2,-0.061018858,Uterus
CDH2,0.072087293,Uterus
ACTB,-0.077439616,Uterus
STARD13,-0.048702245,Uterus
JUP,0.123523101,Uterus
CTNND2,0.233126522,Uterus
CTNND1,0.061476437,Uterus
TESK1,0.088566504,Uterus
TRPM7,0.218094646,Uterus
LIMK1,0.120260421,Uterus
FER,0.177360402,Uterus
MAPK8IP3,0.083111052,Uterus
DLG1,0.017874584,Uterus
SPTLC1,0.235677132,Uterus
KCNH2,0.065980244,Uterus
CIB2,0.166324699,Uterus
CIB1,0.213515739,Uterus
PTPN2,0.015916156,Uterus
PTPN1,0.104535586,Uterus
PTPN6,0.160333266,Uterus
OSTF1,0.071224302,Uterus
DLG5,0.052957982,Uterus
INPP5D,0.20291725,Uterus
